codeId,code
1,AT-3
2,DE-BY
3,AT-5
4,AT-6
5,AT-4
6,DE-BW
7,DE-BY; DE-BW
8,AT-7
9,DE-SN
10,DE-TH
11,CH-BS
12,DE-HE
13,SK-BL
14,CZ-64
15,IT-32
16,CZ-52
17,CZ-80
18,DE-NI
19,PL-02
20,CZ-53
21,BE-BRU
22,CZ-31
23,CZ-63
24,CH-GR
25,CZ-51
26,AT-8
27,HR-01
28,NL-NH
29,CZ-71
30,CZ-42
31,FR-HDF
32,PL-22
33,AT-1
34,CH-GL
35,HU-23
36,AT-9
37,CZ-41
38,GB-ENG
39,HR-14
40,HR-08
41,CZ-20
42,IT-52
43,IT-34; IT-25; IT-32
44,CH-GE
45,IT-42
46,HU-21
48,HU-22
49,DE-HH
50,DE-RP
51,SK-TA
52,NL-NH; NL-ZH
53,CZ-72
54,SK-TC
55,DE-NW
56,HU-33
57,SK-KI
58,AT-2
59,CZ-32
60,SK-NI
61,RU-KGD
62,PL-12
63,SK-BC
64,SI-22
65,NL-ZH
66,PL-16
67,IT-25
68,FR-GES
69,PL-06
70,BE-WAL
71,FR-ARA
72,RO-MM
73,HU-10
74,IT-34
75,FR-IDF
76,IT-45
77,RS-VO
78,PL-24
79,IT-36
80,PL-30
81,CZ-10
82,IT-62
83,CH-SH
84,GB-SCT
85,IT-82
86,CH-SG
87,RU-TM
88,PL-04
89,AT-7; IT-32
90,BE-WAL
91,HR-05
92,PL-14
