id,institution_firma,nennung
2,Niklas d.Ä. und Georg d.J. Zollikofer und Gebrüder,1
4,Fruner und Neugepaur,1
5,Kloster,1
6,Kapuzinerkloster ,1
7,Unterschiedliche Parteien,1
8,Rathgeb & Co.,1
9,Wenzel Exner sel. Erben,1
10,Pfarrkirche,1
11,Kirche,1
12,Verwalter,1
13,Johann Christoph Dauling sel. Witwe und Tobias Dauling,1
14,Herrschaft,1
15,Johann Friedrich Hadammer sel. Witwe,1
16,Stephan und Leopold Hölzl,1
18,Gemeinde,1
19,Johann Ferber und Söhne,1
21,Farovino und Gläutsching,1
22,Patzer und Eisenreich,1
23,Streckenraif & Co.,1
24,Ramut und Bergin,1
25,Pino und Prestinari,1
26,Administrator,1
27,Rüdel und Huth,1
28,Ruffini & Co.,1
29,Buirette und Söhne,1
31,Berlin und Ebermayr,1
32,Kaspar Würth sel. Erben,1
33,Jakob Johann Anton Zilly Sohn & Witwe,1
34,Erasmus und Gottfried Volgnad,1
35,Jakob Johann Anton Zilly Söhne & Co.,1
36,Maximilian Luckner und Georg Mittermayr,1
37,Anton Zilly & Co.,1
38,Georg Zollikofer d.Ä. Gebrüder und Söhne,1
39,Johann Dupre und Johann de Ruiquidor,1
40,Claudius und Peter Engelender,1
41,Johann Eckenbrecht und Kaspar Gillen,1
42,Dominikaner,1
43,Löwenwirt,1
44,Seminar,1
46,Andre Georgio und Gebrüder,1
47,Georg Endter d.J. sel. Erben,1
48,"Abraham Siess, Ambrosius Stenzmann & Co.",1
49,Johann und Gottfried Teufel,1
550,Zechpropst,1
51,"Samuel Schmarofsky, Simon Peer und Johann Schmidt",1
52,Erasmus und Gottfried Volgnad und Johann Friedrich Hadammer,1
53,Johann Engllohner und Wolf Haidnprunner,1
54,Kaspar Landmann und Andre Redl,1
55,Johann Purghauser und Stephan Strasser,1
56,Johann Friedrich Hadammer sel. Erben,1
57,Saviolli und Fantaci,1
59,Conrad und Richter,1
60,Johann Georg Friedrich und Martin Graf,1
61,Strodt und Gebrüder,1
549,Weißgärber,1
536,Postmeister,1
64,Wenzel Exner sel. Witwe,1
65,Christoph Jakob sel. Witwe,1
66,Pfarre,1
67,Farovino & Co.,1
68,Joseph Bernini und Gebrüder,1
69,Daniel Huber sel. Witwe,1
71,Rochus und Prestinari,1
72,Sales und Contessa,1
73,Georg Christoph Sint sel. Witwe,1
74,Copp und Koch,1
75,Erasmus Pühler sel. Erben,1
76,Franziskanerkloster,1
77,Zacharias Gretzl sel. Erben,1
78,Pfarrer,1
79,Ludwig Hoda sel. Witwe,1
80,Anton Hoda sel. Witwe,1
81,Schlüsselamt,1
82,Carone und Bordollo,1
83,Cognolla und Bianchi,1
84,Schustermeister,1
85,Sebastian Zacherla & Co.,1
86,Wilhelm Orsetti & Co.,1
87,Johann Gionnotti & Co.,1
88,Moriconi und Manfredi,1
89,Jakob Hormayr sel. Erben,1
90,Kaspar Feldner sel. Erben,1
91,Göllner sel. Erben,1
92,Wolf Feyrtag sel. Erben,1
93,Wolf Strauß und Michael Brueder,1
94,"Johann Baptista Amoreti, Moriconi, Bottini & Co.",1
95,"Bottini, Orsetti, Manfredi & Co.",1
96,Wolf Mahlknecht und Bartholomäus Streckenraif,1
97,Christoph Kraus und Franz Cortini,1
542,Mautschreiber,1
99,Pater Procurator,1
100,Johann Kayser sel. Erben,1
101,Zollikofer und Söhne,1
102,Michael und Fridl Hölzl,1
104,Maximilian Rädinger & Co.,1
105,Niklas Zollikofer & Co.,1
106,Johann Dupre & Co.,1
107,"Marco, Francesco, Antonio Moriconi & Co.",1
108,Gotteshaus,1
109,Heidl und Sachs,1
110,Exner & Co.,1
111,Strobl & Co.,1
112,Ventura Morpurgo & Co.,1
113,Riemer und Miller,1
114,"Passy, Decret & Co",1
115,Falquet und Violand,1
116,Grange und Passy,1
117,Fratres Crettier,1
118,Orientalische Compagnie,1
119,Lederer,1
120,Johann Gsellhofer und Ferdinand Albrecht Gebl,1
121,Raphael del Pace & Co.,1
548,Seifensieder,1
123,Ree & Co.,1
124,Johann und Gottfried Pollner,1
125,Bartholomäus Bottini und Heinrich Moriconi,1
126,Kaspar Schlumpf d.Ä. und Daniel Zollikofer d.Ä.,1
127,Wolf Dietrich Appl sel. Erben,1
128,Raphael del Pace und Hieronimo Pinocci,1
130,Kaspar Schlumpf & Co.,1
131,"Johann Baptista, Stephan und Caesar Pestaluzzi",1
132,Sebastian Zacherla und Johann Andre Cotti,1
133,Rudolf Cortini und Wilhelm Orsetti,1
134,Michael Stellner und Virgilio Winkler,1
135,Kaspar Schlumpf sel. Erben,1
136,Adam Masla und Gespan,1
137,Christian und Zacharias Hilger,1
138,Joseph Achtmark und Matthias Rieß,1
518,Johann Georg Müller und Gespan,1
140,Lorenz Tucci und Johann Baptista Facineti,1
141,Kirche Maria Loreto,1
142,Johann Koch sel. Erben & Co.,1
143,Georg Embser sel. Erben,1
144,Salomon Großditz & Co.,1
145,Bartholomäus Schnabl sel. Erben,1
146,Festa und Werdemann,1
147,Bartholomäus Viatis sel. Erben,1
148,Johann Favre und Andre Caille,1
150,Johann Baptista Flanderini sel. Erben,1
151,Valentin Immerdruff und Gespan,1
152,Juden Gespanschaft,1
153,Stadt,1
157,Copp und Hautsch,1
156,Elias Hörmann und Heinrich Escher,1
158,Perinet und Falquet,1
160,Moriconi & Co.,1
161,Georg Rohm sel. Erben,1
162,Jakob Zollikofer und Johann Jakob Knopf,1
163,Georg Rohm sel. Witwe,1
164,Johann Baptista Reschkali und Bernhard Pestaluzzi,1
165,Wolf Gsellhofer & Co.,1
166,Lorenz Tucci & Co.,1
167,Bartholomäus Muederach und Flanderini,1
551,Kupferschmied,1
169,Paul Krembser und Johann Kamroth,1
170,Christoph und Johann Wolf Beer sel. Erben,1
171,Johann Baptist Falchetti und Gebrüder,1
541,Binder,1
173,Christian Wittick sel. Witwe,1
174,Schiebel und Koschke,1
175,Pasquet und Abrie,1
544,Färber,1
177,Johann Österreicher sel. Erben,1
178,Friedrich und Johann Endorffer,1
179,Johann Nidermayr und Reiser,1
180,Georg Ludwig Masco & Co.,1
181,Johann Pionseck & Co.,1
182,Johann Mayr und Erasmus Zöllinger,1
183,Johannes Kraus und Gespan,1
184,Bartholomäus Bottini & Co.,1
546,Tuchscherer,1
186,Gebrüder Martinelli,1
187,Final & Co.,1
188,Pino und Condesse,1
189,Wolf Prämer sel. Erben,1
190,Samson Witwe,1
191,Daniel Gutschi und Andreas Jon,1
192,Flanderini und Bartholomäus Mueterach sel. Erben,1
193,Anna Huberin & Co.,1
194,Andre Leb und Johann Ramler,1
195,Fuhrleute,1
196,Gottfried Exner & Co.,1
198,Abt,1
199,Stockowinz und Simon Wollini,1
200,Loiser Juden,1
201,Paetiplinzi und Wielandt,1
202,Matthias Friesacher und Johann Lenepeck,1
203,Jakob und Johann Pollner,1
204,5 Slowaken,1
206,Abraham und Salomon,1
207,Marx und Isak,1
208,Adam und Valentin,1
209,Fuhrmann,1
210,Jakob Müllner und Kriegl,1
211,"Georg Langer, Christoph Huphmann und Urban Schall",1
212,"Lebl, Heinrich und Hirschl",1
213,"Jakob Thon, Bartl Peter, Michl Knoll, Michl Pusch, Georg Fischer, Georg Springer, Georg Pitsch",1
214,Michael und Johann de la Foga,1
215,Wolf und Johann Pommer,1
216,2 Franzosen,1
217,Christoph Lüntner und Johann Pfluch,1
219,"Adam Tüll, Christoph Scheugabl, Peter Mauller und Johann Weigl",1
220,Matthias Primbster & Co.,1
221,Jörg Hiemayr und Gallus Mayrhofer,1
222,Simon und Jakob,1
223,König von Polen,1
226,Kielmann,1
227,Jakob und Isak,1
228,Schlumpf,1
229,Zwirndler,1
230,Zacharias und Hieronymus Platner,1
231,Christoph Müllner sel. Erben,1
232,Kofflerische Erben,1
517,die Werdemannischen,1
234,Melchart Dosso sel. Erben,1
235,Julius Sonner sel. Erben,1
236,Zacharias und Christian Hillinger,1
237,Stephan von Tetschin und Nikolas Crieg,1
528,Durchlaucht von,1
239,Graf,1
240,Lucchini und Mechoni,1
241,Schweyr und Riehl,1
242,Zollikofer und Goldast,1
243,Hölbling und Stromüllner,1
244,Ferber und Schweyr,1
245,Johann und Wolf Wilhelm Schinnagl,1
246,Felber und Eisenhuet,1
247,Wolf und Friedrich Sauttermaister,1
