hauptdokument_kaeufer_firma,id,firmaInstitutionId
1,8969,4
2,8987,4
3,79,5
4,113,5
5,137,5
6,285,5
7,609,5
8,917,5
9,963,5
10,1463,5
11,1492,5
12,1639,5
13,1743,5
14,2288,5
15,2432,5
16,2435,5
17,2799,5
18,3356,5
19,7486,5
20,7489,5
21,7490,5
22,7578,5
23,8094,5
24,8226,5
25,8227,5
26,8343,5
27,8412,5
28,8725,5
29,8727,5
30,8899,5
31,8945,5
32,9039,5
33,80,6
34,583,6
35,610,6
36,1246,6
37,84,7
38,86,7
39,147,7
40,227,7
41,321,7
42,506,7
43,584,7
44,615,7
45,1236,7
46,1250,7
47,1457,7
48,1654,7
49,2433,7
50,2992,7
51,4028,7
52,4261,7
53,96,8
54,3964,9
55,3978,9
56,4420,9
57,4429,9
58,148,10
59,231,10
60,1621,10
61,1633,10
62,3975,10
63,3976,10
64,4042,10
65,4051,10
66,4052,10
67,4247,10
68,7130,10
69,7131,10
70,7133,10
71,7527,10
72,7528,10
73,7577,10
74,7596,10
75,7729,10
76,7730,10
77,7821,10
78,8594,10
79,8726,10
80,149,11
81,2999,11
82,4825,11
83,5206,11
84,5629,11
85,7543,11
86,7693,11
87,7696,11
88,7698,11
89,7699,11
90,150,12
91,2244,14
92,6997,14
93,7512,14
94,267,16
95,294,16
96,7559,16
97,7673,16
98,345,18
99,982,21
100,1161,22
101,400,25
102,800,25
103,1952,25
104,2101,25
105,2125,25
106,2128,25
107,2164,25
108,484,26
109,1863,27
110,1864,27
111,1955,27
112,1959,27
113,2027,27
114,2097,27
115,2210,27
116,2276,27
117,2289,27
118,753,31
119,1776,31
120,2610,36
121,1190,42
122,1238,43
123,1248,44
124,2111,59
125,1478,60
126,7370,66
127,8595,66
128,1958,67
129,1640,68
130,1668,69
131,1748,71
132,1749,71
133,1751,71
134,1761,72
135,2171,72
136,2009,76
137,2030,77
138,2192,79
139,2194,80
140,2448,84
141,7121,84
142,7463,84
143,7466,84
144,7679,84
145,8622,84
146,8735,84
147,2533,91
148,2611,99
149,2811,108
150,3000,108
151,5203,109
152,5211,109
153,5219,109
154,7402,109
155,7405,109
156,7716,109
157,7893,109
158,7914,109
159,8032,109
160,5218,110
161,5630,110
162,7662,110
163,7892,110
164,8033,110
165,4280,111
166,4795,111
167,7441,111
168,7448,111
169,7997,111
170,8024,111
171,2857,113
172,3965,113
173,4021,113
174,4423,113
175,5214,113
176,5215,113
177,5625,113
178,7398,113
179,7445,113
180,7651,113
181,7885,113
182,106,119
183,135,119
184,220,119
