hauptdokument_kaeufer_name_vkId,id,personenId
1,1858,3
2,7266,14
3,1004,15
4,832,19
5,7006,20
6,6875,29
7,7207,31
8,7006,33
9,6875,35
10,884,52
11,7124,63
12,6657,64
13,6694,64
14,7373,64
15,3444,95
16,469,96
17,1759,96
18,2891,104
19,2893,104
20,2897,104
21,2898,104
22,2945,104
23,2989,104
24,4798,104
25,4815,104
26,4821,104
27,2891,105
28,2893,105
29,2897,105
30,2898,105
31,2945,105
32,2989,105
33,4798,105
34,4815,105
35,4821,105
36,7202,107
37,820,134
38,2934,136
39,4478,136
40,88,137
41,133,137
42,153,137
43,162,137
44,164,137
45,218,137
46,234,137
47,265,137
48,295,137
49,319,137
50,330,137
51,332,137
52,380,137
53,406,137
54,501,137
55,556,137
56,563,137
57,606,137
58,625,137
59,628,137
60,639,137
61,653,137
62,916,137
63,1251,137
64,1316,137
65,1446,137
66,1465,137
67,1477,137
68,1531,137
69,1548,137
70,1549,137
71,1559,137
72,1624,137
73,1637,137
74,1670,137
75,1671,137
76,1686,137
77,1712,137
78,1713,137
79,1725,137
80,1875,137
81,1886,137
82,1887,137
83,1915,137
84,1921,137
85,1924,137
86,1942,137
87,1991,137
88,2049,137
89,2112,137
90,2426,137
91,2428,137
92,2439,137
93,4281,137
94,4449,137
95,4800,137
96,4816,137
97,7146,137
98,7446,137
99,7515,137
100,611,142
101,720,161
102,720,162
103,1717,170
104,2296,173
105,637,188
106,748,188
107,1947,188
108,2153,188
109,795,203
110,801,203
111,7038,218
112,2014,220
113,2717,228
114,7314,238
115,7499,245
116,4038,256
117,2138,287
118,5647,291
119,1521,299
120,1630,299
121,1730,299
122,1889,299
123,2040,299
124,1521,300
125,1630,300
126,1730,300
127,1889,300
128,2040,300
129,4289,325
130,1939,335
131,6805,336
132,733,341
133,1745,342
134,3642,367
135,3651,367
136,2489,419
137,827,420
138,849,421
139,971,421
140,1940,421
141,2156,421
142,7021,428
143,4452,437
144,4294,454
145,4463,454
146,3593,464
147,4835,478
148,5636,482
149,961,486
150,7070,486
151,7101,486
152,961,490
153,7070,490
154,7101,490
155,3696,493
156,3779,493
157,1783,504
158,2119,504
159,2179,504
160,1783,507
161,2119,507
162,2179,507
163,7181,511
164,1974,515
165,1390,518
166,3530,518
167,3531,518
168,3706,518
169,3722,518
170,3891,518
171,7060,539
172,1802,557
173,2277,576
174,7107,579
175,3326,584
176,3673,584
177,804,592
178,890,597
179,3899,607
180,921,611
181,683,616
182,688,616
183,6888,624
184,6895,624
185,7305,624
186,3544,630
187,617,631
188,7028,632
189,3374,635
190,6735,641
191,144,645
192,809,645
193,1310,645
194,798,648
195,3527,656
196,3546,656
197,3552,656
198,3597,656
199,3659,656
200,3727,656
201,3782,656
202,3808,656
203,2219,658
204,3709,660
205,3548,674
206,3581,674
207,3605,674
208,3548,675
209,3581,675
210,3605,675
211,3548,676
212,3581,676
213,3605,676
214,3548,677
215,3581,677
216,3605,677
217,3337,679
218,3389,679
219,2008,680
220,2099,682
221,619,683
222,2053,683
223,461,703
224,2270,726
225,2301,726
226,2570,728
227,6703,730
228,6848,730
229,2016,741
230,7137,784
231,7137,785
232,7137,786
233,3635,831
234,6731,837
235,2646,838
236,1797,840
237,1704,847
238,1705,847
239,7073,847
240,7074,847
241,6973,859
242,1770,860
243,746,874
244,2503,884
245,2728,884
246,6647,885
247,6673,885
248,6695,885
249,6849,885
250,6913,885
251,6914,885
252,7351,885
253,7363,885
254,7374,885
255,7375,885
256,7126,908
257,7501,908
258,6822,914
259,1798,924
260,7389,926
261,381,928
262,627,928
263,2200,928
264,4296,928
265,7111,973
266,2055,979
267,1239,996
268,387,998
269,393,998
270,790,998
271,1678,998
272,1788,998
273,6832,1004
274,7206,1004
275,387,1009
276,393,1009
277,790,1009
278,1678,1009
279,1788,1009
280,4491,1016
281,4036,1021
282,4442,1021
283,4830,1021
284,3967,1027
285,3973,1027
286,3989,1027
287,4023,1027
288,4025,1027
289,4035,1027
290,4263,1027
291,4264,1027
292,4433,1027
293,4439,1027
294,4448,1027
295,4471,1027
296,5212,1027
297,5220,1027
298,5631,1027
299,7406,1027
300,7429,1027
301,7434,1027
302,3967,1029
303,3973,1029
304,3989,1029
305,4023,1029
306,4025,1029
307,4035,1029
308,4263,1029
309,4264,1029
310,4433,1029
311,4439,1029
312,4448,1029
313,4471,1029
314,5212,1029
315,5220,1029
316,5631,1029
317,7406,1029
318,7429,1029
319,7434,1029
320,4036,1030
321,4442,1030
322,4830,1030
323,4036,1031
324,4442,1031
325,4830,1031
326,3967,1035
327,3973,1035
328,3989,1035
329,4023,1035
330,4025,1035
331,4035,1035
332,4263,1035
333,4264,1035
334,4433,1035
335,4439,1035
336,4448,1035
337,4471,1035
338,5212,1035
339,5220,1035
340,5631,1035
341,7406,1035
342,7429,1035
343,7434,1035
344,3967,1036
345,3973,1036
346,3989,1036
347,4023,1036
