hauptdokument_verkaeufer_firmaId,id,firmaInstitutionId
1,54,2
2,71,2
3,348,2
4,937,2
5,3113,2
6,3223,2
7,3436,2
8,3916,2
9,4133,2
10,4178,2
11,4740,2
12,74,4
13,112,4
14,124,4
15,163,4
16,278,4
17,280,4
18,449,4
19,566,4
20,581,4
21,582,4
22,586,4
23,1340,4
24,7115,4
25,7125,4
26,7241,4
27,7573,4
28,7617,4
29,7663,4
30,7672,4
31,7676,4
32,7728,4
33,7731,4
34,7738,4
35,8171,4
36,8172,4
37,8185,4
38,8189,4
39,8740,4
40,8776,4
41,8830,4
42,8832,4
43,8833,4
44,8834,4
45,8840,4
46,8856,4
47,8869,4
48,8879,4
49,8911,4
50,8941,4
51,8942,4
52,8993,4
53,9062,4
54,286,5
55,316,5
56,810,5
57,1513,5
58,1514,5
59,1571,5
60,2782,5
61,6932,5
62,7549,5
63,7706,5
64,7770,5
65,8757,5
66,101,9
67,291,9
68,307,9
69,580,9
70,1451,9
71,1481,9
72,1577,9
73,1627,9
74,1723,9
75,1891,9
76,1912,9
77,2087,9
78,2423,9
79,151,10
80,1554,10
81,2370,10
82,2926,10
83,3981,10
84,3995,10
85,3997,10
86,4424,10
87,4426,10
88,4432,10
89,7516,10
90,7521,10
91,7554,10
92,7591,10
93,8737,10
94,8758,10
95,2430,11
96,2906,11
97,2914,11
98,7544,11
99,155,13
100,214,13
101,229,13
102,290,13
103,305,13
104,315,13
105,318,13
106,574,13
107,635,13
108,1336,13
109,158,14
110,328,14
111,565,14
112,1579,14
113,1599,14
114,1880,14
115,1899,14
116,1910,14
117,1929,14
118,3984,14
119,4431,14
120,5622,14
121,6650,14
122,6652,14
123,6699,14
124,6700,14
125,6709,14
126,6719,14
127,6721,14
128,6722,14
129,6922,14
130,6923,14
131,6927,14
132,6929,14
133,6937,14
134,7238,14
135,7239,14
136,7376,14
137,7380,14
138,7383,14
139,7386,14
140,7387,14
141,7553,14
142,7560,14
143,7564,14
144,7655,14
145,7694,14
146,7777,14
147,8151,14
148,8175,14
149,8296,14
150,8371,14
151,8569,14
152,8728,14
153,8738,14
154,8756,14
155,8775,14
156,8778,14
157,8836,14
158,252,15
159,762,15
160,1123,15
161,1277,15
162,1365,15
163,7165,16
164,292,18
165,338,19
166,529,19
167,596,19
168,1227,19
169,1231,19
170,1928,19
171,2369,19
172,378,21
173,450,21
174,496,21
175,587,21
176,589,21
177,682,21
178,981,21
179,1033,21
180,1166,21
181,1196,21
182,375,22
183,512,22
184,528,22
185,599,22
186,1160,22
187,1170,22
188,1200,22
189,7606,22
190,7734,22
191,7757,22
192,7798,22
193,7799,22
194,7800,22
195,8193,22
196,8460,22
197,8525,22
198,8698,22
199,8797,22
200,8808,22
201,8809,22
202,8951,22
203,9000,22
204,371,23
205,511,23
206,519,23
207,1040,23
208,1162,23
209,1164,23
210,1818,23
211,6854,23
212,6872,23
213,8084,23
214,8089,23
215,8157,23
216,8439,23
217,8441,23
