aschachId,herkunft
17268,24
2,2
5,11
9,2
11,27
13,11
18,3
24,21
32,15
33,11
35,27
41,29
42,44
44,27
45,27
46,27
51,15
57,27
2419,10
62,11
63,11
64,27
65,27
67,11
70,11
71,11
73,89
74,11
75,11
78,11
79,3
80,3
81,3
11458,13
87,11
88,3
32002,27
93,2
97,62
98,27
100,73
101,74
102,18
104,3
110,4
277,78
10255,10
119,3
121,69
122,1274
124,11
28520,13
127,3
128,2
269,3
168,2
268,27
172,11
171,5
139,27
141,27
142,27
146,27
147,27
170,4
169,225
9948,128
155,4
157,27
162,3
165,3
166,68
167,55
174,27
176,4
177,10
179,11
181,9
183,36
184,28
185,66
186,3
190,11
193,11
4647,193
197,2
198,8
200,13
201,10
202,66
203,66
204,10
207,10
208,2
209,10
210,10
212,71
213,32
214,30
215,34
216,35
219,33
220,21
221,2
222,5
223,11
224,11
225,2
232,27
239,27
6408,66
247,11
253,11
271,175
258,4
259,13
260,8
261,32
263,3
265,3
280,3
282,35
283,11
285,39
286,8
287,119
288,175
23092,239
291,4
560,13
293,11
297,27
299,27
301,27
306,27
308,27
309,27
315,2
319,2
321,15
24051,3
324,10
325,81
326,4
328,5
329,55
330,45
331,82
332,45
333,41
334,32
336,30
337,8
339,42
5729,103
341,8
342,4
343,225
344,44
345,8
347,15
350,15
351,15
352,15
353,15
354,15
355,15
358,72
359,45
360,30
364,28
366,62
376,6
377,3
378,83
379,11
381,11
383,27
385,27
388,27
389,27
390,27
391,27
393,2
394,27
397,27
398,2
401,27
403,27
404,32
562,9
406,13
410,9
412,3
413,8
36469,27
425,5
426,10
427,13
429,8
431,225
432,46
442,2
444,55
445,22
447,2
450,3
451,2
452,11
454,3
455,47
467,11
471,27
472,27
478,27
484,32
485,28
12977,54
490,27
494,48
495,27
498,30
501,42
505,32
506,11
559,28
508,85
509,17
510,30
567,27
512,86
513,86
9565,10
519,13
520,49
522,30
525,3
529,2
530,87
532,50
535,88
537,225
538,8
540,66
541,3
542,13
543,29
544,55
545,89
546,90
548,13
549,385
550,66
551,4
552,92
553,68
555,93
556,94
557,4
558,225
22946,66
574,90
575,3
576,22
577,9
578,27
579,27
580,27
21007,2
582,27
587,27
590,27
595,27
596,27
599,3
600,51
601,29
602,35
603,30
605,95
606,29
607,13
610,27
611,27
613,3
614,25
615,22
616,30
617,349
618,15
621,52
622,86
623,97
624,53
626,62
632,62
633,11
635,97
637,10
640,225
641,55
642,54
643,32
644,56
645,29
646,82
647,74
648,59
649,98
650,99
651,54
652,15
654,100
655,101
656,100
658,44
659,11
665,11
669,27
670,62
673,7
677,3
678,2
686,780
26181,166
696,2
697,11
698,797
700,2
701,11
702,11
705,11
711,797
714,2
717,2
719,2
726,24
727,15
728,15
731,8
732,64
734,32
736,66
738,7
739,102
740,59
741,9
746,27
752,27
753,27
756,27
757,103
759,55
760,14
1332,772
770,24
772,98
773,104
774,60
776,13
777,11
779,17
780,13
781,13
784,14
785,24
787,98
789,61
790,8
791,99
792,4
794,482
797,9
806,9
810,11
812,27
813,27
820,11
821,105
822,12
824,87
825,16
826,66
827,17
6277,5
830,11
834,17
835,8
836,19
839,3
843,27
844,4
848,27
854,3
858,27
869,4
870,4
873,89
877,27
879,38
885,27
887,225
3772,173
895,27
896,27
897,27
899,27
900,15
907,21
908,9
910,22
911,110
914,62
918,111
27667,307
920,11
921,11
926,27
927,11
15956,175
931,2
933,25
934,26
935,225
936,403
937,94
938,4
939,4
940,51
943,225
945,42
946,19
947,42
948,114
949,62
957,62
958,62
960,62
962,27
964,115
965,63
967,11
973,3
974,3
975,22
976,2
978,3
979,64
981,385
982,24
28750,19
984,116
985,11
20033,33
993,3
995,27
996,27
997,118
999,62
1000,2
1001,2
1004,2
1005,35
1006,24
1007,119
1008,9
1009,9
1015,27
1016,385
1017,118
1023,2
1024,11
1028,16
1029,120
1030,15
1031,142
1033,121
1034,8
1035,11
1037,27
38556,1223
1051,16
1053,115
1054,101
10033,577
1056,49
1057,9
1066,27
1069,90
1070,1313
1071,7
1072,13
1073,97
1074,10
1075,9
1078,27
1080,27
1083,27
9907,830
1087,123
1088,3
1089,66
15595,13
1091,125
1097,11
1103,27
1106,126
1107,11
1108,127
1110,4
1118,2
1120,6
1121,22
1122,128
1123,90
1124,11
1125,21
1129,62
1130,17
1132,1241
1133,127
1134,130
1135,125
1137,9
1138,27
1146,27
7419,27
1150,21
1151,42
1153,21
1154,21
39462,1336
1162,131
1165,2
1166,522
1168,2
1172,60
1173,62
1178,11
1180,62
1185,62
7751,488
1189,2
1190,10
1191,129
1192,114
1196,132
1201,10
1202,10
1203,11
1204,22
18460,4
1209,482
1216,2
1224,25
1225,133
1228,30
1231,5
1233,68
1234,134
1235,135
1236,136
1237,9
1246,167
1247,27
1248,8
1250,137
1251,15
1253,29
1254,225
23050,172
1257,41
1258,4
1261,10
1268,92
1270,16
1273,139
1275,42
1281,4
1282,140
1283,13
1284,26
1286,16
1287,10
1290,141
1292,100
1295,27
1299,142
1300,32
1301,29
1303,27
1305,11
1307,11
1308,143
9930,30
1312,60
1315,100
1317,4
1318,121
1319,54
34005,9
1322,9
1325,16
1329,62
1337,27
1338,28
1339,4
22470,11
1346,27
1349,30
1351,60
1352,105
1353,60
1354,252
1355,55
1357,5
1358,8
1359,9
1360,27
1361,27
1365,60
1368,146
1369,16
1370,27
1371,41
1372,147
1373,22
1374,8
1378,149
1379,13
1380,11
1381,66
1382,175
4710,59
1385,33
1386,8
1387,151
1388,40
1389,30
20935,619
1411,11
1417,27
1424,15
1428,10
1429,30
1430,27
1433,27
1441,10
1442,66
1443,92
1444,16
1445,153
1446,38
1449,11
1457,9
1458,95
1459,13
1462,64
1465,26
1468,60
1469,83
1470,154
1471,86
1474,85
1475,66
1476,155
1477,15
1478,15
1479,61
1480,21
1484,61
1485,225
1486,9
1494,157
1495,26
1496,14
1497,12
9864,178
1499,27
1500,522
1502,27
1505,27
1506,27
1508,27
1509,27
1511,1157
1512,155
1514,13
1515,157
1516,35
1517,13
1518,11
1519,11
1521,2
1523,11
1526,1364
1527,4
1529,10
1537,11
23004,65
1540,10
1541,16
1557,69
1565,158
1566,9
1568,24
1569,27
1571,17
1573,1157
1574,30
1575,100
1576,62
1579,62
1583,57
1584,159
1586,29
1589,42
1590,16
1591,16
1592,9
1594,92
1595,5
1596,66
1602,32
1607,2
1610,1183
22721,21
1616,3
1624,62
1630,62
1633,27
1634,27
1648,9
1650,27
1655,11
1659,27
1660,27
1668,44
1670,96
1671,3
1672,13
1678,62
1679,30
1680,8
1682,16
1691,66
1692,66
1693,101
1694,15
1695,385
1696,30
1699,27
1700,27
1706,27
22326,9
1712,27
1718,45
1719,85
1720,28
1721,66
1722,165
1723,9
1725,27
1732,42
1734,166
1737,44
1753,27
39032,267
38032,27
1762,27
1763,168
1764,169
1768,66
1769,30
1771,66
1772,11
1786,27
1788,170
1789,24
1790,87
1791,171
1792,51
1794,33
1795,172
1796,55
1797,173
1798,45
1799,45
1800,173
1801,45
1803,174
1804,175
1805,144
1809,3
1810,176
