organisationen_ortsId,organisationsId,ortsId
1,1,1008
2,2,11
3,3,11
4,4,14
5,5,17
6,6,729
7,7,910
8,8,225
9,9,573
10,10,188
11,11,496
12,12,277
13,13,710
14,14,312
15,15,529
16,16,312
17,17,314
19,21,89
20,19,73
21,18,67
22,22,107
23,23,113
24,24,113
25,25,113
26,26,114
27,27,118
28,28,119
29,29,119
30,30,121
31,31,128
32,32,129
33,33,141
34,34,147
35,35,269
36,36,153
37,37,156
38,38,157
39,39,881
40,40,159
41,41,119
42,41,797
43,42,182
44,43,176
45,44,192
46,45,195
47,46,200
48,47,208
49,48,208
50,49,219
51,50,226
52,51,230
53,52,232
54,53,241
55,54,245
56,55,245
57,56,248
58,57,250
59,58,252
60,59,280
61,60,286
62,61,286
63,62,290
64,63,291
65,64,296
66,65,401
67,66,401
68,67,401
69,68,401
70,69,401
71,70,401
72,71,401
73,72,319
74,73,339
75,74,355
76,75,364
77,76,366
78,77,373
79,78,871
80,79,80
81,80,755
82,81,563
83,82,563
84,83,979
85,84,293
86,85,390
87,86,406
88,87,405
89,88,422
90,89,547
91,90,447
92,91,448
93,92,448
94,93,455
95,20,74
