ortsId,aschachId,kremsId,ortsname,ortsname_aktuell,katastralgemeinde,ortsteil,nennung,zuordnung,typ,historischeSystematik,namensvar_hist,regionHistorisch,reichskreis,regionAktuell,regionAktuellCode,latitude,longitude,staat_aktuell,staat_aktuell_code,flusssystem,verkehrsanbindung,bemerkungen,bearbeitet
1,,1033,Absdorf,Absdorf,,,1,1,12,1,"Abbtstorff, Abstorff, Abtstorff",1,4,1,1,N 48° 24' 0'',E 15° 59' 0'',1,7,1,"A. liegt knapp nördlich der Donau.
A. lag am ""Pleketen Weg"", einem bereits im Mittelalter bestehenden Höhen- und Sichtweg entlang des Donauwagrams. CSENDES, Straßen Niederösterreichs, 176f.","<p>
	A. ist seit 1964 Marktgemeinde.</p>
",1
3,,897,Achhorn,,,,1,2,,,Achhorn,,,,,,,,,,,"<p>
	Zu A. gibt es nur einen Eintrag in den KWNB. Eine eindeutige Zuordnung war bis dato nicht m&ouml;glich.</p>
<p>
	Evtl. k&ouml;nnte es sich um einen der folgenden Orte handeln:</p>
<p>
	1. <a href=""https://www.geonames.org/3062015/zahorkov.html"" target=""_blank"">Ahorn/Kladn&eacute;-Z&aacute;horkov</a> (B&ouml;hmen)</p>
<p>
	2) <a href=""https://de.wikipedia.org/wiki/Veversk%C3%A1_B%C3%ADt%C3%BD%C5%A1ka"" target=""_blank"">Eichhorn Bittischka</a>/Veversk&aacute; B&iacute;t&yacute;&scaron;ka (M&auml;hren)</p>
<p>
	Unwahrscheinlich ist die <a href=""https://de.wikipedia.org/wiki/Ahorn_(Gemeinde_Lunz_am_See)"" target=""_blank"">Rotte Ahorn in Lunz</a>, wie auch weitere &quot;Ahorn&quot;-Orte in Ober- und Nieder&ouml;sterreich.</p>
<p>
	Auszuschlie&szlig;en ist das abgekommene Dorf Eichhorns (heute am Truppen&uuml;bungsplatz Allentsteig), da kein Hinweis in den <a href=""https://data.matricula-online.eu/de/oesterreich/st-poelten/doellersheim/"" target=""_blank"">Matriken (Pfarre D&ouml;llersheim)</a> auf die in den KWNB genannte Person gefunden werden konnte, wie auch <a href=""https://de.wikipedia.org/wiki/Zistersdorf"" target=""_blank"">Eichhorn-Zistersdorf</a> (Nieder&ouml;sterreich), wo in den <a href=""https://data.matricula-online.eu/de/oesterreich/wien/zistersdorf/"" target=""_blank"">Matriken</a> ebenso kein Anhaltspunkt f&uuml;r die Person &quot;Wenzel Nickl&quot; gefunden werden konnte.</p>
",1
4,,592,Adersbach,Adršpach,,,1,1,12,1,Äderspach,5,,25,16,N 50° 37' 7'',E 16° 6' 30'',2,4,14,A. liegt am Adersbach/Adršpašský potok -> Mettau/Metuje -> Elbe.,,1
5,,994,Admont,Admont,,,1,1,12,1,Ätmund,2,4,6,4,N 47° 34' 31'',E 14° 27' 38'',1,7,20,A. liegt an der Enns -> Donau.,"<p>
	Zu A. gibt es nur einen Eintrag in den KWNB. Die genannte Person, <a href=""https://data.matricula-online.eu/de/oesterreich/graz-seckau/admont/18516/?pg=17"" target=""_blank"">Georg Hoffst&auml;tter</a>, kann in den Matriken von A. nachgewiesen werden.</p>
",1
6,,205,Aflenz,Aflenz,,,1,1,12,1,Afflenz,2,4,6,4,N 47° 32' 0'',E 15° 14' 0'',1,7,34,"A. liegt am Thörlbach -> Mürz -> Mur -> Drau -> Donau.
A. ist über die Mariazellerstraße mit dem Donauraum verbunden. RIEGLER, Aflenz, 154.","<p>
	A. wurde 1458 zum Markt erhoben, jedoch gab es bereits seit 1445 Wochenm&auml;rkte. Seit 1460 Peter-und-Paul Markt (erster Sonntag nach dem 29. Juni) mit 4-w&ouml;chiger Freiung. PICHLER, Aflenz, 26; RIEGLER, Aflenz, 154&ndash;157.</p>
",1
7,379,239,Aggsbach,,,,"1
2",2,12,1,"KWNB: Achspach, Aggspach, Agspach
AMP: Agsbach in unter Öesterr., Agspach",1,4,1,1,N 48° 17' 38'',E 15° 24' 13'',1,7,1,A. liegt an der Donau.,"<p>
	A. k&ouml;nnte sowohl</p>
<p>
	1) &quot;<a href=""https://de.wikipedia.org/wiki/Sch%C3%B6nb%C3%BChel-Aggsbach"" target=""_blank"">Aggsbach-Dorf</a>&quot; (s&uuml;dliches Donauufer, Katastralgemeinde von Sch&ouml;nb&uuml;hel-Aggsbach, siehe auch dort), als auch</p>
<p>
	2) &quot;<a href=""https://de.wikipedia.org/wiki/Aggsbach"" target=""_blank"">Aggsbach-Markt</a>&quot; (n&ouml;rdliches Donauufer) sein.</p>
<p>
	F&uuml;r die Koordinaten und Verlinkungen wurde &quot;Aggsbach-Markt&quot; als eher wahrscheinlich gew&auml;hlt.</p>
<p>
	&quot;Aggsbach-Markt&quot; wird 1441 als &quot;Markt&quot; erw&auml;hnt. LECHNER, Aggsbach-Markt, 187.</p>
",1
8,,309,Aggstein,Aggstein,,Schönbühel-Aggsbach,1,1,12,1,Agstain,1,4,1,1,N 48° 18' 22'',E 15° 24' 42'',1,7,1,A. liegt am Südufer der Donau.,,1
9,,949,Aigen (bei Raabs),Aigen,,Ludweis-Aigen,1,1,12,1,Aigen,1,4,1,1,N 48° 46' 36'',E 15° 28' 51'',1,7,16,A. liegt am Sieghartser Bach und Seebsbach -> Thaya -> March -> Donau.,"<p>
	Die einzige Personennennung mit Ortsangabe A. in den KWNB bezieht sich auf Michael H&auml;rtl, der in den Matrikelb&uuml;chern der Pfarre A. nachweisbar ist.</p>
",1
10,,914,Aistersheim,Aistersheim,,,1,1,12,1,Astershaimb,10,4,8,5,N 48° 11' 12'',E 13° 44' 30'',1,7,28,A. liegt an einem Zufluss zur Trattnach -> Innbach -> Donau.,"<p>
	Die Zuordnung ist eindeutig, da die einzige in den KWNB genannte Person, Johann Ferber (1710), als Vater bei der Geburt eines Sohnes in den <a href=""http://data.matricula-online.eu/de/oesterreich/oberoesterreich/aistersheim/101%252F02/?pg=60"" target=""_blank"">Taufmatriken von A.</a> aufscheint.</p>
<p>
	Nicht zu verwechseln mit &quot;Aisterham&quot; in Bayern (siehe dort).</p>
",1
11,,255,Albrechtsberg,Albrechtsberg,,Albrechtsberg an der Großen Krems,1,1,12,1,Albrechtsperg,1,4,1,1,N 48° 27' 13'',E 15° 21' 32'',1,7,30,"A. liegt an der Großen Krems -> Krems -> Donau. 
Bis zum Bau des Donaukraftwerks Altenwörth war die Mündung in die Donau bei der Stadt Krems. Nun ist die Mündung gemeinsam mit der Kampmündung nach Altenwörth verlegt. 
A. lag an der Krumauer Straße, die eine Verbindung zwischen Donau und mittlerem Kamp war. CSENDES, Straßen Niederösterreichs, 202.","<p>
	Da die Herrschaft A. &uuml;ber die Kremser Stadtkammer mit Schie&szlig;pulver, Lunten und Blei zur Vorbereitung auf einen T&uuml;rkenkrieg versorgt wurde, ist der Vierteleinteilung entsrpechend von A. an der Gro&szlig;en Krems und nicht von A. an der Pielach auszugehen.</p>
",1
