orte_literaturId,ortsId,literatur
1,1,"[VEREIN ABSDORF (Hg.)], 1000 Jahre Absdorf. Leben in der Gemeinde einst und heute. Ein historischer Überblick mit Beiträgen von Bianca WOJTA–Herbert LOHNER–Johann WEISSENSTEINER [Absdorf 2011] bes. 30–32 (namenskundlich), 40–44 (verkehrsgeographisch)."
2,1,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
3,12,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
4,6,"Franz PICHLER, Art. Aflenz, in: Alpenländer mit Südtirol, hg. von Franz HUTER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 279, 2. Aufl., Stuttgart 1978) 25f."
5,6,"Josef RIEGLER, Aflenz, Geschichte eines obersteirischen Marktes und Kurortes (Aflenz Kurort 1990).
"
6,1008,"Gerhard WINNER, Art. Aggsbach, Dorf (BH Melk), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, Stuttgart 21985) 184f."
7,7,"Karl LECHNER, Art. Aggsbach-Markt (BH Krems), in: Donauländer und Burgenland, hg. von DEMS. (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 186–188."
8,7,"Gerhard WINNER, Art. Aggsbach, Dorf (BH Melk), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 184f."
9,8,"Rudolf BÜTTNER, Art. Burgruine Aggstein, in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985) 185f."
10,12,"Werner BERTHOLD, Allentsteig, in: Die Städte Niederösterreichs 1, red. von Friederike GOLDMANN (Österreichisches Städtebuch IV/1, Wien 1988) 35–47."
11,11,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
12,17,"Gerhard A. STADLER, Das industrielle Erbe Niederösterreichs. Geschichte – Technik – Architektur (Wien–Köln–Weimar 2006)."
13,15,"Fritz HANAUSKA, Art. Altenmarkt an der Triesting (BH Baden), in: Donauländer und Burgenland, hg. von Karl LECHNER (Handbuch der Historischen Stätten = Kröners Taschenausgabe 278, 2. Aufl., Stuttgart 1985).
"
14,15,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
15,18,"Peter CSENDES, Die Straßen Niederösterreichs im Früh- und Hochmittelalter (Dissertationen der Universität Wien 33, Wien 1969)."
