orte_verknuepfungenId,ortsId,verknuepfungsArtId,eintrag
1,7,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=702984841&INDEXSET=21
2,7,1,http://d-nb.info/gnd/4084787-1
6,12,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=106397893&INDEXSET=21
7,12,1,http://d-nb.info/gnd/4001253-0
8,12,4,"http://www.geonames.org/2782800/allentsteig.html
"
9,12,3,https://goo.gl/maps/ZboJQ5uwn5p
10,1,6,"http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=156891360&INDEXSET=21
"
11,1,1,"http://d-nb.info/gnd/4347271-0
"
12,1,4,"http://www.geonames.org/2783055/absdorf.html
"
13,1,3,https://goo.gl/maps/ZjC3y6BkCr82
14,1,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42389.31234452334!2d15.939655660885641!3d48.3925666807499!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476d7005c1bbaeaf%3A0xe843051033c5a3bb!2s3462+Absdorf!5e0!3m2!1sde!2sat!4v1500913619389"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
15,12,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2633.4843109423177!2d15.323118415813063!3d48.696223420065174!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4772c22f0a98d7fb%3A0xe7e596bbc9716788!2s3804+Allentsteig!5e0!3m2!1sde!2sat!4v1500994520207"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
16,6,6,"http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=123824281&INDEXSET=21
"
17,6,1,"http://d-nb.info/gnd/4309326-7
"
18,6,4,"http://www.geonames.org/2782967/aflenz-kurort.html
"
19,6,3,https://goo.gl/maps/mTCNydRgcQL2
20,6,5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d43070.50405030113!2d15.186900705182378!3d47.56960753068304!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4771fd4a903dfeff%3A0x6915d8b495328d5f!2s8623+Aflenz+Kurort!5e0!3m2!1sde!2sat!4v1500996674047"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
21,8,6,http://swb.bsz-bw.de/DB=2.104/PPNSET?PPN=70298485X&INDEXSET=21
22,8,1,http://d-nb.info/gnd/4084788-3
23,8,4,http://www.geonames.org/2782952/aggstein.html
24,8,3,https://goo.gl/maps/tKCjoqK9LKv
