personen_amtId,personenId,amtId
1,7993,1.0
2,88,2.0
3,100,3.0
4,142,1.0
5,366,4.0
6,538,5.0
7,538,6.0
8,1753,6.0
9,1753,3.0
10,5416,2.0
11,5416,6.0
12,5416,3.0
13,1755,3.0
14,1755,2.0
15,2204,7.0
16,2204,3.0
17,5547,8.0
18,5547,3.0
19,559,1.0
20,559,9.0
21,644,2.0
22,813,10.0
23,6200,1.0
24,670,1.0
25,4551,1.0
26,841,12.0
27,841,11.0
28,841,3.0
29,847,12.0
30,847,11.0
31,884,1.0
32,884,3.0
33,1127,5.0
34,1147,2.0
35,1149,2.0
36,1665,6.0
37,1665,14.0
38,1665,13.0
39,2919,15.0
40,7361,2.0
41,3235,16.0
42,3235,10.0
43,3476,17.0
44,3951,5.0
45,4106,18.0
46,5010,5.0
47,4643,1.0
48,4644,20.0
49,4644,21.0
50,5219,22.0
51,5272,3.0
52,5295,1.0
53,5372,22.0
54,5373,4.0
55,5503,4.0
56,6356,23.0
57,6852,26.0
58,7094,10.0
59,7135,27.0
60,7184,2.0
61,7328,3.0
62,7489,10.0
63,7537,28.0
64,7537,29.0
65,7537,6.0
66,7577,3.0
68,7537,30.0
69,7775,2.0
70,7775,31.0
71,7775,32.0
72,3951,11.0
73,4259,2.0
74,6038,17.0
75,6198,3.0
76,6200,2.0
77,7219,17.0
78,648,17.0
79,648,33.0
80,7219,33.0
81,2146,34.0
82,142,3.0
84,1147,10.0
85,4224,2.0
86,5208,10.0
87,7326,12.0
88,7346,5.0
89,908,10.0
90,1419,1.0
91,1419,3.0
92,1681,2.0
93,2354,2.0
94,2919,10.0
95,3785,2.0
96,6323,2.0
97,7159,2.0
98,7361,3.0
99,7361,35.0
100,690,
101,2876,1.0
102,1999,2.0
103,7136,3.0
104,2980,1.0
105,1491,2.0
106,3173,33.0
108,70,36.0
109,431,37.0
110,432,37.0
111,709,36.0
112,839,38.0
113,1571,39.0
114,1599,39.0
115,2086,36.0
116,2531,40.0
117,2740,41.0
118,3371,42.0
119,3543,36.0
120,3544,43.0
121,3856,44.0
122,3869,45.0
123,3871,33.0
124,3887,41.0
125,4376,41.0
126,4377,36.0
127,4378,37.0
128,4734,47.0
129,5038,42.0
130,5219,48.0
131,5333,36.0
132,6246,36.0
133,7342,36.0
134,7718,36.0
135,8023,36.0
136,8049,49.0
137,8052,43.0
138,8492,50.0
139,14422,51.0
140,21476,52.0
141,24663,41.0
142,43805,41.0
143,43806,41.0
146,8146,40.0
147,40584,54.0
148,46132,55.0
149,46132,52.0
150,8615,73.0
151,46187,41.0
152,8600,10.0
153,6935,78.0
154,46239,58.0
155,46361,59.0
156,46513,59.0
157,46526,42.0
158,16903,40.0
159,16033,40.0
160,8492,40.0
161,33187,60.0
162,33187,61.0
163,33187,40.0
164,11940,63.0
165,46752,41.0
166,8272,64.0
167,47382,65.0
168,11621,66.0
169,13785,67.0
170,13785,41.0
171,46522,68.0
172,10123,69.0
173,10123,70.0
174,331,23.0
175,332,23.0
176,44054,23.0
177,44051,71.0
178,34349,69.0
179,11666,23.0
180,11666,69.0
181,11666,71.0
182,46950,72.0
183,10543,73.0
184,46699,2.0
185,46699,77.0
186,8285,2.0
187,41599,78.0
188,43966,78.0
189,43989,78.0
191,17118,79.0
192,8600,79.0
193,17992,79.0
194,23514,79.0
195,46148,79.0
196,37701,79.0
197,47327,79.0
198,8594,79.0
199,10071,79.0
200,43783,79.0
201,20609,79.0
202,15475,79.0
203,8747,79.0
204,8186,78.0
205,7111,78.0
206,10359,78.0
207,1321,78.0
208,13796,78.0
209,9870,78.0
210,9489,78.0
211,1115,78.0
212,13158,78.0
213,8188,78.0
214,21800,78.0
215,8598,78.0
216,10641,78.0
217,15475,78.0
218,10181,78.0
219,9344,78.0
220,15430,78.0
221,8600,78.0
222,8405,78.0
223,10901,78.0
224,16482,78.0
225,8594,78.0
226,47327,78.0
227,26346,78.0
228,8747,78.0
229,23514,78.0
230,22544,78.0
231,10071,78.0
232,37701,78.0
233,22485,78.0
234,15439,78.0
235,43783,78.0
236,20609,78.0
237,46148,78.0
238,17118,78.0
239,29325,80.0
240,13796,72.0
241,9628,73.0
242,47636,78.0
243,7155,78.0
244,33208,78.0
245,5853,78.0
246,43081,78.0
247,8754,78.0
248,47638,78.0
249,46795,78.0
250,10060,78.0
251,46966,78.0
252,42820,78.0
253,10760,51.0
254,10760,40.0
255,10760,60.0
256,2174,81.0
257,8939,5.0
258,9893,5.0
263,43881,78.0
305,8816,10.0
306,3077,82.0
307,4637,83.0
308,48049,40.0
309,48051,40.0
310,14539,
311,17917,81.0
312,16758,5.0
313,16758,84.0
314,29164,36.0
315,29164,85.0
316,10902,86.0
317,10902,87.0
318,48180,1.0
319,18944,39.0
320,32472,89.0
321,32472,88.0
322,22232,88.0
323,22232,89.0
324,8757,90.0
325,17634,89.0
326,22215,88.0
327,16593,88.0
328,16593,89.0
329,13235,91.0
330,40548,41.0
331,9031,41.0
332,18183,92.0
333,18183,41.0
334,42050,41.0
335,20734,93.0
336,20945,94.0
337,28566,95.0
338,28566,93.0
339,9068,96.0
340,27576,97.0
341,44414,98.0
342,44414,39.0
343,27090,1.0
344,22486,99.0
345,22486,41.0
346,1412,1.0
347,8389,100.0
348,42075,1.0
349,48189,36.0
350,48197,36.0
351,48201,36.0
352,48207,36.0
353,30577,101.0
354,48223,36.0
355,48225,102.0
356,48226,102.0
357,48228,36.0
358,31103,103.0
359,48263,104.0
360,48264,36.0
361,43246,102.0
362,48274,102.0
363,48286,102.0
364,48327,36.0
365,48339,104.0
366,48346,104.0
367,48356,36.0
368,48373,54.0
369,48376,36.0
370,48386,102.0
371,48396,36.0
372,8213,105.0
373,7111,10.0
374,9128,106.0
375,17700,107.0
376,1513,106.0
377,8754,10.0
378,3010,33.0
379,7689,109.0
380,4582,33.0
381,8817,10.0
382,32558,74.0
383,10901,10.0
384,30448,17.0
385,9500,23.0
386,12877,23.0
387,43610,23.0
388,8461,23.0
389,34349,23.0
390,34005,23.0
