personen_buergeraufnahmeId,personenId,ortsId,datum
1,44039,925,Dezember 1748
2,46676,925,Dezember 1748
3,47574,925,Dezember 1748
4,43801,925,Dezember 1748
5,47571,925,Jänner 1748
6,46535,925,Jänner 1748
7,43979,925,Jänner 1748
8,47037,925,September 1747
9,43865,925,September 1747
10,47568,925,September 1747
11,46545,925,September 1747
12,46293,925,Februar 1747
13,43862,925,Februar 1747
14,47561,925,Dezember 1746
15,43797,925,Dezember 1746
16,43981,925,Dezember 1746
17,25597,925,Dezember 1745
18,47565,925,Dezember 1745
19,47165,925,Juni 1745
20,47558,925,September 1743
21,46148,925,September 1743
22,46371,925,September 1743
23,43966,925,September 1743
24,46159,925,September 1743
25,43963,925,September 1743
26,46771,925,September 1743
27,36452,925,September 1743
28,43795,925,Februar 1744
29,43798,925,Februar 1744
30,46373,925,Dezember 1744
31,46279,925,Dezember 1744
32,43874,925,Dezember 1744
33,46838,925,Dezember 1742
34,43860,925,Dezember 1742
35,47142,925,Dezember 1742
36,46276,925,Dezember 1742
37,46745,925,Februar 1740
38,46454,925,April 1740
39,43959,925,Jänner 1741
40,46527,925,Jänner 1741
41,42662,925,Jänner 1741
42,47153,925,Jänner 1741
43,47156,925,Jänner 1741
44,47148,925,Oktober 1741
45,47150,925,Oktober 1741
46,47022,925,Oktober 1741
47,46433,925,Oktober 1741
48,46674,925,Dezember 1738
49,46543,925,Dezember 1738
50,34998,925,Dezember 1738
51,33707,925,Dezember 1738
52,34421,925,Dezember 1738
53,46738,925,Dezember 1738
54,46426,925,Dezember 1738
55,46515,925,Dezember 1738
56,46919,925,Dezember 1738
57,46922,925,Dezember 1738
58,46523,925,September 1739
59,38120,925,September 1739
60,46271,925,September 1739
61,36936,925,September 1739
62,35115,925,September 1739
63,47522,925,März 1738
64,46910,925,März 1738
65,47133,925,März 1738
66,24852,925,März 1738
67,40477,925,März 1738
68,43938,925,März 1738
69,47129,925,März 1738
70,37086,925,April 1738
71,46353,925,April 1738
72,8168,925,April 1738
73,47137,925,April 1738
74,46142,925,April 1738
75,46735,925,April 1738
76,43940,925,April 1738
77,22485,925,Dezember 1735
78,30347,925,Dezember 1735
79,43783,925,Dezember 1735
80,24248,925,Dezember 1735
81,27912,925,Dezember 1735
82,47366,925,September 1736
83,43201,925,Februar 1737
84,41599,925,Februar 1737
85,47125,925,Februar 1737
86,46560,925,Juni 1735
87,21604,925,Oktober 1734
88,46893,925,Oktober 1734
89,23562,925,September 1734
90,25146,925,März 1734
91,46507,925,März 1734
92,47495,925,Jänner 1734
93,23789,925,Jänner 1734
94,46887,925,Jänner 1734
95,47501,925,Jänner 1734
96,24741,925,Dezember 1733
97,16488,925,Dezember 1733
98,26325,925,Juli 1733
99,46137,925,Juli 1733
100,10071,925,August 1733
101,29325,925,August 1733
102,26303,925,August 1733
103,24594,925,August 1733
104,46724,925,August 1733
105,28972,925,Jänner 1733
106,46670,925,Februar 1733
107,23509,925,Februar 1733
108,43858,925,Februar 1733
109,46418,925,Februar 1733
110,46343,925,Juni 1732
111,43855,925,Juni 1732
112,46500,925,Juni 1732
113,12455,925,Dezember 1731
114,21998,925,Jänner 1732
115,46131,925,Jänner 1732
116,25004,925,November 1731
117,47490,925,September 1731
118,46498,925,September 1731
119,11998,925,September 1731
120,46719,925,Juni 1731
121,22544,925,Juni 1731
122,43912,925,Juni 1731
123,43856,925,Juni 1731
124,28699,925,Juni 1731
125,20614,925,Juni 1731
126,43918,925,Dezember 1730
127,20609,925,Dezember 1730
128,37701,925,Dezember 1730
129,28337,925,Dezember 1730
130,46356,925,April 1738
131,47623,925,Dezember 1733
132,39570,925,Oktober 1733
133,46136,925,Juli 1733
134,23558,925,Juli 1730
135,18530,925,Juli 1730
136,43899,925,April 1730
137,43896,925,April 1730
138,17118,925,April 1730
139,29902,925,Mai 1730
140,21313,925,Mai 1730
141,23412,925,Dezember 1729
142,15439,925,Dezember 1729
143,47113,925,Dezember 1729
144,15956,925,Dezember 1729
145,19640,925,August 1729
146,15535,925,August 1729
147,25095,925,August 1729
148,29568,925,Juli 1729
149,12099,925,Juli 1729
150,31324,925,Juli 1729
151,47098,925,Juli 1729
152,14804,925,Juli 1729
153,46880,925,Juli 1729
154,47000,925,Juli 1729
155,43895,925,Dezember 1728
156,4646,925,Dezember 1728
157,12378,925,Dezember 1728
158,43788,925,Dezember 1728
159,43848,925,Dezember 1728
