personen_ehevertraegeId,personenId,ehevertraege
1,44023,1
2,46129,1
3,23514,1
4,46135,1
5,46138,1
6,46139,1
7,13619,1
8,46141,1
9,35115,1
10,46146,1
11,46172,1
12,46171,1
13,46174,1
14,46175,1
15,46179,1
16,43887,1
17,46180,1
18,46181,1
19,46252,1
20,46258,1
21,41599,1
22,37748,1
23,46281,1
24,46279,1
25,46283,1
26,46282,1
27,46345,1
28,46343,1
29,24248,1
30,46350,1
31,46371,1
32,46372,1
33,46380,1
34,46381,1
35,46384,1
36,46382,1
37,24258,1
38,46430,1
39,46455,1
40,46454,1
41,39393,1
42,46505,1
43,46170,1
44,46531,1
45,46527,1
46,46535,1
47,46545,1
48,46549,1
49,46552,1
50,46162,1
51,46553,1
52,43925,1
53,46560,1
54,46563,1
55,46565,1
56,46566,1
57,46572,1
58,43796,1
59,43793,1
60,43799,1
61,46293,1
62,46600,1
63,43859,1
64,34421,1
65,43862,1
66,43864,1
67,43865,1
68,46642,0
69,27714,1
70,43876,1
71,43878,1
72,43856,1
73,46671,1
74,46670,1
75,46673,1
76,46692,1
77,22544,1
78,46723,1
79,46169,1
80,46744,1
81,43802,1
82,46755,1
83,46571,1
84,46757,1
85,46759,1
86,46758,1
87,46760,1
88,46763,1
89,46765,1
90,46768,1
91,10693,1
92,46822,1
93,46830,1
94,46832,1
95,46837,1
96,46835,1
97,46845,1
98,46841,1
99,46785,1
100,2971,1
101,11795,1
102,9684,1
103,46910,1
104,46913,1
105,46919,
106,46930,1
107,46931,1
108,46937,1
109,46940,1
110,46844,1
111,46944,1
112,46945,1
113,46946,1
114,47008,1
115,21604,1
116,47014,1
117,27475,1
118,47017,1
119,47024,1
120,47022,1
121,43919,1
122,36452,1
123,47030,1
124,47043,1
125,47045,1
126,26114,1
127,47047,1
128,8411,1
129,47098,1
130,21998,1
131,47104,1
132,24741,1
133,42886,1
134,47123,1
135,47129,1
136,47132,1
137,47133,1
138,47136,1
139,47147,1
140,46838,1
141,47156,1
142,43810,1
143,46128,1
144,30180,1
145,9952,1
146,43882,1
147,43908,1
148,43907,1
149,43911,1
150,43910,1
151,19355,1
152,43915,1
153,43917,1
154,29664,1
155,47356,1
156,22485,1
157,27912,1
158,29663,1
159,21476,1
160,47366,1
161,43954,1
162,25660,1
163,43931,1
164,43968,1
165,43977,1
166,43978,1
167,43979,1
168,43980,1
169,43982,1
170,43981,1
171,43985,1
172,43986,1
173,43991,1
174,43992,1
175,44012,1
176,44036,1
177,44035,1
178,21800,1
179,10901,1
180,47487,1
181,23508,1
182,10071,1
183,47498,1
184,47515,1
185,47512,1
186,47516,1
187,47514,1
188,47522,1
189,47524,1
190,47533,1
191,38569,1
192,34998,1
193,33707,1
194,47546,1
195,47549,1
196,43989,1
197,47560,1
198,47565,1
199,47580,1
200,47582,1
201,47592,1
202,47595,1
203,47593,1
204,47598,1
205,47599,1
206,47606,1
207,47605,1
208,47611,1
209,47608,1
210,47612,1
211,47614,1
212,47615,1
213,47617,1
214,46327,
215,47034,
216,8326,1
217,8754,1
218,15430,1
219,5636,1
220,43918,1
221,8599,1
222,42309,1
223,37039,1
