personen_firmenInstitutionenId,personenId,firmaInstitutionId
1,7993,138
2,783,234
3,854,41
4,1088,90
5,1109,19
6,1109,244
7,1328,281
8,1329,281
9,1330,281
10,8007,46
11,1576,272
12,1577,41
13,1577,249
14,1577,272
15,1577,426
16,1577,41
17,1577,249
18,1577,272
19,1577,426
20,1578,426
21,1579,272
22,1730,77
23,1732,77
24,1805,344
25,1804,431
26,1806,466
27,1817,273
28,1823,165
29,1820,497
30,1821,120
31,2152,276
32,2153,276
33,2756,59
34,3193,284
35,3193,432
36,3194,284
37,3194,432
38,3608,269
39,3605,269
40,3604,269
41,3603,269
42,3601,269
43,3883,311
44,4021,36
45,4323,348
46,3374,348
47,4529,22
48,4693,158
49,4693,355
50,4694,158
51,4694,355
52,5994,174
53,6675,48
54,6771,23
55,6771,96
56,6983,140
57,6983,166
58,7091,34
59,7091,52
60,7090,251
62,4395,86
63,4395,95
64,4395,133
65,4395,514
66,4528,381
67,6075,126
68,6075,130
69,6075,135
70,6075,228
71,6076,126
72,6076,130
73,6076,135
74,6076,228
75,6079,126
76,6079,130
77,6079,135
78,6079,228
79,7761,430
80,1879,191
81,2673,191
82,3097,531
83,4694,558
84,43889,68
85,43890,68
86,8574,68
