personen_firmenbeteiligungenId,personenId1,personenId2
2,43999,47392
3,44005,47392
4,44012,44011
5,44015,44011
6,8574,9072
10,8591,30445
11,11308,37043
12,44051,44049
13,44053,44050
14,44054,37043
15,44053,44049
17,2971,20653
18,8743,20653
19,46105,46106
21,46109,16083
22,8331,16083
23,14104,26954
24,46111,26954
25,8096,46114
26,30296,46114
27,8192,12271
28,12271,17087
29,37955,12421
30,37955,23520
31,46132,40640
32,46133,40640
33,46134,40640
34,21476,23520
35,10693,14941
36,13619,14941
37,8799,47368
38,30296,46147
39,34913,46147
40,46150,26242
41,46153,26242
42,46154,46151
43,46154,46152
44,46155,46152
45,46150,46151
46,43895,20610
47,43894,20610
48,43887,43885
49,43886,43885
50,46183,46184
52,9133,15300
53,9133,40680
54,46188,8192
56,46189,8322
57,46190,46189
58,46189,46190
59,46192,46191
60,46193,638
61,46195,46194
62,46197,46196
63,46198,46199
64,46200,10359
65,46203,46202
66,46205,46204
67,46207,46206
68,46208,8100
70,8813,46209
71,46211,46210
72,46213,46212
73,46214,8600
74,46216,46215
75,46217,21806
76,46219,46218
77,46220,36435
78,46222,46221
79,46224,46223
80,46225,23481
81,46227,41221
82,46228,15249
83,46230,46229
84,46231,43997
85,37748,46231
86,46232,10909
87,46234,46233
88,46235,40184
89,46236,6935
90,46238,10173
91,46239,10900
92,22683,10900
93,46240,46239
94,46241,46240
95,46244,15535
96,46246,46245
97,46248,46247
98,46249,36606
99,46251,46250
100,46251,29551
101,46253,20159
102,46150,20159
103,20159,29551
104,46255,29551
105,46255,46150
106,46255,46253
107,46255,46254
108,46254,46255
109,46254,20159
110,46256,29551
111,46257,20614
112,6849,8067
114,46259,6849
115,26689,8067
116,46261,6849
117,46262,8168
118,46265,46264
119,46268,46267
120,46270,39391
121,46272,46271
122,46273,46272
123,46274,37748
124,46277,46276
125,46280,46279
127,46284,46285
128,46287,46286
129,46289,46288
130,46292,46291
131,46295,46294
132,46297,46296
133,46298,11007
134,46299,11264
136,46300,14321
137,46301,8421
138,8188,46301
139,8670,20897
140,46302,8670
141,46303,10543
142,46304,8414
143,16221,8105
144,42309,8105
145,46306,8105
146,46307,8592
147,46309,8598
148,46310,8955
149,46311,17436
150,46312,1864
151,46313,10872
152,46314,8817
153,46315,41439
154,46316,26080
155,46317,22393
156,46318,28222
157,46320,46319
158,46322,46321
160,46323,46322
161,46325,46324
162,46326,12379
163,46328,46327
164,46330,46329
165,46332,46331
166,46333,19817
167,46334,46333
168,46335,19817
169,46337,46336
170,46338,25454
171,46339,25454
172,46339,29323
173,46340,17649
174,46341,29568
175,43229,24512
176,46342,24512
177,5636,43229
178,5636,13208
179,46344,46343
180,46346,28324
181,10600,46346
182,46348,46347
183,46349,24248
184,46351,40477
185,46354,46353
186,46357,46356
187,46360,46359
188,46363,46362
189,46367,46366
190,46374,46373
191,46376,46375
192,46383,46382
193,46386,46385
194,46389,8189
196,11674,46390
197,46393,46391
198,46393,46392
199,46394,46391
200,46170,46392
201,46395,11600
202,46396,8508
203,37974,46396
204,46397,46396
205,46399,46398
206,24831,13569
207,11795,46400
208,11795,13569
209,13569,40680
210,46401,8956
211,46402,8957
212,46404,46403
213,46405,41690
214,46407,46406
215,46409,46408
216,46411,46410
217,46412,14142
218,46413,9401
219,46414,10250
220,46415,8771
221,46416,40592
222,46417,46416
223,46419,46418
225,23412,37828
226,46420,23412
227,27912,37828
228,46421,24258
229,46424,46423
230,46427,46426
231,46429,46428
232,46431,46430
233,46434,46433
234,46437,46436
235,46440,46439
236,24831,46400
238,46442,19704
239,46443,14804
240,46444,8754
241,46447,46446
242,46448,25805
243,46450,46449
244,46451,42596
245,46452,8186
246,46454,46453
247,46455,46453
248,46457,9703
250,46459,44785
251,20866,44785
252,46460,44785
253,46462,46461
254,46464,46463
255,46465,46464
256,46467,46466
257,46468,13519
258,46469,23836
259,46471,46470
260,46472,9484
261,46474,46473
262,46475,9868
263,46477,46476
264,23505,25274
266,23505,46478
267,46479,8107
268,46480,18243
269,46481,29389
270,46483,46482
271,46484,9904
272,46485,16579
273,46487,46486
274,46489,46488
275,46490,17713
276,12260,30048
277,46492,12260
279,46493,8593
280,15932,46493
281,46497,46496
282,46499,46498
283,46501,46500
284,46503,46502
285,46504,39393
286,46506,25804
287,46508,46507
288,46509,26689
289,46511,46510
290,46516,46515
291,46519,46518
292,46521,8148
293,46521,30066
294,30066,23197
295,46522,8148
296,8148,23197
297,46523,46524
298,46525,46170
299,46528,46527
300,46529,46527
302,46532,42340
303,42340,30193
304,46533,30193
305,46537,46536
306,46537,46535
307,46538,46535
308,38549,46542
310,46543,38549
311,46544,46542
313,46548,46545
314,46548,46547
315,46551,46550
316,46554,46553
317,46557,46556
318,43924,46559
321,46560,43924
322,46562,46561
323,46564,46563
324,46575,10600
326,46574,46575
327,46577,10346
328,46578,9919
330,46579,8191
331,46580,43786
332,46581,8584
333,46582,8591
334,46583,11690
