personen_geschaeftskapitalId,personenId,geschaeftskapital
1,35115,1
2,42662,1
3,46156,1
4,46161,1
5,46165,1
6,46168,1
7,46171,1
8,46108,1
9,41747,1
10,46174,1
11,46176,1
12,43887,1
13,46180,1
14,46263,1
15,8168,1
16,46264,1
17,46267,1
18,39391,1
19,37748,1
20,46276,1
21,46279,1
22,46284,1
23,46288,1
24,46291,1
25,46292,1
26,46296,1
27,46297,1
28,46353,1
29,40477,1
30,46354,1
31,46356,1
32,46359,1
33,46362,1
34,46371,1
35,46373,1
36,46375,1
37,46380,1
38,46382,1
39,46386,1
40,46385,1
41,28324,1
42,46423,1
43,46430,1
44,46436,1
45,46441,1
46,46510,1
47,46170,1
48,46527,1
49,30193,1
50,46534,1
51,46535,1
52,46542,1
53,46553,1
54,46559,1
55,46566,1
56,46570,1
57,46572,1
58,46293,1
59,43874,1
60,43876,1
61,46674,1
62,46676,1
63,43998,1
64,23214,1
65,22544,1
66,46738,1
67,46745,1
68,46747,1
69,34454,1
70,43802,1
71,46571,1
72,46760,1
73,46765,1
74,46772,1
75,26145,1
76,46827,1
77,46771,1
78,46830,1
79,46833,1
80,46835,1
81,46841,1
82,46846,1
83,46785,1
84,24852,1
85,46910,1
86,46914,1
87,46543,1
88,46919,1
89,46922,1
90,30195,1
91,46927,1
92,46729,1
93,46932,1
94,46940,1
95,46942,1
96,46946,1
97,46969,1
98,47018,1
99,43919,1
100,47027,1
101,25597,1
102,47032,1
103,47036,1
104,47037,1
105,47043,1
106,47125,1
107,47129,1
108,47133,1
109,47135,1
110,47137,1
111,37086,1
112,46838,1
113,47153,1
114,43798,1
115,47165,1
116,47175,1
117,47188,1
118,47193,1
119,47196,1
120,43940,1
121,36092,1
122,43942,1
123,43950,1
124,43953,1
125,30064,1
126,43938,1
127,28746,1
128,29663,1
129,27912,1
130,30347,1
131,47370,1
132,43956,1
133,43958,1
134,43963,1
135,43966,1
136,43968,1
137,43969,1
138,43974,1
139,43977,1
140,43979,1
141,43984,1
142,43986,1
143,43992,1
144,43996,1
145,44012,1
146,44015,1
147,44011,1
148,44025,1
149,44039,1
150,44045,1
151,44047,1
152,47519,1
153,47522,1
154,47525,1
155,47529,1
156,34998,1
157,33707,1
158,47546,1
159,43989,1
160,46766,1
161,47561,1
162,47564,1
163,47565,1
164,47574,1
165,47577,1
166,47580,1
167,47582,1
168,47586,1
169,47593,1
170,47596,1
171,47598,1
172,47603,1
173,47605,1
174,47608,1
175,47615,1
