personen_identischId,personenId1,personenId2
1,39,40
2,39,41
4,40,41
8,88,89
9,88,90
10,88,91
12,89,90
13,89,91
17,90,91
22,223,222
26,7997,273
28,289,280
30,292,291
31,295,296
32,295,297
33,295,298
35,296,297
36,296,298
39,297,298
43,299,300
45,306,309
50,5140,351
52,368,367
53,364,365
54,364,366
56,365,366
60,374,373
62,386,382
63,387,388
66,392,391
68,415,416
69,425,426
70,425,427
72,426,427
77,432,431
79,434,433
80,441,442
82,446,444
83,446,443
86,452,451
87,452,453
88,453,451
90,456,457
91,456,458
92,456,459
95,459,458
97,457,458
99,457,459
103,455,458
105,464,465
106,464,466
107,464,467
108,464,468
109,464,469
111,465,467
112,465,468
114,466,469
117,467,468
118,467,469
121,468,469
127,104,105
128,135,138
131,143,136
133,146,145
134,470,472
136,475,476
137,475,477
138,7999,475
139,7999,476
143,477,476
144,477,7999
149,485,484
150,486,489
151,486,490
152,486,491
154,490,489
155,490,491
160,491,489
162,504,507
166,517,516
167,518,516
169,524,523
171,532,533
172,536,537
173,536,538
175,537,538
178,547,549
179,548,549
182,555,556
184,573,575
186,587,588
188,591,592
189,591,593
191,592,593
194,603,608
196,609,605
198,619,8001
200,668,667
202,670,673
204,674,675
205,674,676
206,674,677
208,675,676
209,675,677
212,676,677
216,682,683
218,686,687
220,701,702
222,710,712
223,712,710
225,723,722
226,724,722
227,724,723
230,739,738
232,746,747
234,763,761
238,762,761
239,762,763
240,766,768
244,766,772
246,768,772
248,783,782
251,785,784
253,786,784
254,786,785
255,788,789
258,793,798
264,799,794
266,796,794
267,796,799
270,803,804
273,841,843
276,844,842
278,850,849
280,867,865
282,878,877
284,880,879
286,891,893
288,937,936
293,943,940
294,943,944
295,943,945
296,944,940
298,944,945
299,945,940
302,947,948
303,948,947
305,968,967
306,970,971
308,977,978
310,1009,999
312,1006,1002
314,1001,1007
316,1016,1010
317,1016,1011
318,1010,1011
322,1021,1030
323,1021,1031
327,1031,1030
328,1022,1030
329,1022,1035
330,1024,1022
332,1024,1035
335,1025,1026
337,1028,1025
338,1028,1026
339,1027,1029
340,1027,1035
341,1027,1036
344,1024,1029
346,1029,1035
347,1029,1036
351,1035,1036
356,1036,1024
357,1032,1034
359,1047,1048
360,1047,1050
363,1055,1056
365,1071,1073
366,1071,1074
368,1073,1074
371,1083,1084
373,1102,1103
375,1113,1105
378,1109,1112
379,1113,1114
382,1114,1105
383,1116,1117
385,1126,1129
387,1135,1137
389,1136,1138
391,1149,1150
394,1157,1153
395,1191,1192
397,1192,1193
399,1195,1196
401,1216,1217
402,1216,1218
403,8002,1262
405,1263,1261
407,1267,1274
409,1272,1275
411,1283,1285
413,1289,1290
414,1289,1291
416,1290,1291
420,1290,8003
422,8003,1289
424,8003,1291
425,1328,1329
427,1334,1335
429,1343,1346
431,1349,8004
433,1351,1352
435,1332,1363
437,1375,1376
438,1375,1377
440,1376,1377
443,1378,1379
445,1383,1384
447,1388,1389
449,1428,1429
450,1428,1430
452,1429,1430
455,1446,1447
457,8005,1459
459,1462,1463
461,1466,1467
463,1499,1501
464,1499,1502
466,1501,1502
469,1508,1507
474,1523,1525
476,1530,1531
478,1535,1536
479,1535,1537
480,1535,1538
482,1536,1537
483,1536,1538
486,1537,1538
491,1540,1539
493,8008,1548
494,1565,1567
497,1568,1566
500,1570,1565
501,1570,1567
504,1588,1590
506,1638,1640
508,1642,1643
510,1650,1651
514,1651,1652
515,1651,1654
516,1652,1650
519,1654,1650
521,1654,1652
522,1649,1651
523,1649,1654
527,1673,1676
528,1675,1673
529,1675,1676
535,1678,1680
539,1680,1678
546,1694,1695
553,1741,1742
557,1740,1742
558,1790,1794
560,1793,1791
564,1852,1853
566,1856,1855
567,1856,1858
570,1859,1860
571,1859,1862
573,1860,1862
576,1871,1872
577,1871,1874
580,1872,1874
583,1876,1878
584,1876,1879
586,1878,1879
589,1910,1911
591,1926,1922
593,1923,1922
594,1923,1926
597,1937,1940
599,1961,1957
601,8012,1962
603,1988,1989
605,1992,1993
607,1997,1996
610,2000,1997
611,1996,2000
613,1998,1999
615,1929,1939
617,2010,2011
619,2014,2015
621,2022,2023
622,2022,2024
626,2024,2023
627,2032,2031
629,2033,2038
631,2054,2056
633,2073,2071
635,2076,2080
637,2082,2083
639,2096,2094
645,2098,2094
646,2098,2096
647,2122,2123
649,2126,2127
653,2170,2168
654,2170,2171
658,2176,2175
659,2186,2187
661,2199,2200
664,2200,2202
665,2202,2199
667,2211,2210
669,2232,2225
671,2205,2227
673,2239,2240
675,2260,2259
677,2265,2266
679,2267,2268
681,2272,2273
682,2273,2272
683,2274,2275
685,2296,2304
687,2331,2332
689,2338,2339
691,2344,2345
694,2353,2348
695,2359,2360
697,2362,2363
700,2379,2380
701,2400,2401
705,2410,2411
706,2410,2421
708,2411,2421
710,8015,2419
711,2423,2407
712,2413,2425
715,2427,2425
717,2413,2427
718,2462,2463
720,2466,2469
722,2472,8016
723,2465,2472
724,2465,8016
731,2472,2474
733,2465,2474
734,8016,2474
735,2478,2479
737,2507,2492
739,2498,2500
743,2519,2498
744,2512,2517
746,8019,8018
748,2527,2528
750,2544,2536
752,2537,2540
754,2539,2531
755,2539,2538
758,2554,2577
760,2580,2565
763,2584,2593
765,2600,2570
769,2633,2634
771,2644,2645
773,2652,2653
775,2675,2677
777,2680,2687
779,2688,2685
781,2690,2691
783,2701,2707
785,2702,2715
787,2709,2697
788,2709,2710
791,2732,2731
794,2731,2733
795,2732,2733
796,2742,2743
798,2766,2763
800,2770,2772
802,2779,2778
804,2785,2786
806,2789,2790
808,2796,2792
810,2801,2802
812,2861,2864
814,2842,2843
817,2826,2834
818,2844,2845
820,2856,2857
823,2857,2858
824,2858,2856
826,2876,2878
828,2879,2880
830,2887,2893
832,2889,2888
833,2889,2890
834,2889,2893
836,2889,2892
837,2887,2889
840,2890,2888
844,2892,2890
845,2900,2901
849,2902,2900
850,2902,2901
851,2903,2904
853,2927,2929
855,2926,2928
857,2933,2932
859,2937,2938
861,2948,2943
863,2954,2955
866,2970,2969
867,2977,2981
871,2981,2977
872,2981,2979
873,2978,2982
874,2982,2978
876,2986,2988
877,3003,3001
880,3031,3033
882,3032,3033
883,3031,3032
885,3032,3034
887,3033,3034
888,3034,3031
891,3035,3016
893,3052,3053
895,3056,3054
897,3065,3066
899,3077,3078
900,3077,3079
902,3079,3078
905,3096,3106
907,3135,3136
909,3146,3148
