personen_kaufmannsklassenId,personenId,kaufmannsklassenId
1,43997,7.0
2,43996,7.0
3,44012,7.0
4,44025,7.0
5,5112,7.0
6,8116,7.0
7,8178,7.0
8,8187,8.0
9,8191,9.0
10,8271,8.0
11,8324,1.0
12,8412,1.0
13,8423,7.0
14,8490,7.0
15,8492,8.0
16,44035,7.0
17,44037,1.0
18,44039,7.0
19,44041,7.0
20,44045,7.0
21,44047,7.0
22,5636,7.0
23,8146,8.0
24,8591,7.0
25,17422,1.0
26,37043,1.0
27,44048,1.0
28,44049,1.0
29,44050,1.0
30,44051,1.0
31,9950,1.0
32,437,1.0
33,46104,1.0
34,9057,7.0
35,41601,1.0
36,42612,7.0
37,18128,1.0
38,8980,9.0
40,43842,7.0
41,8743,1.0
42,2971,1.0
43,20653,1.0
44,9344,7.0
45,46109,7.0
46,8331,7.0
47,28560,2.0
48,46110,2.0
49,32417,2.0
50,2848,1.0
51,14104,1.0
52,26954,1.0
53,46111,1.0
54,31160,1.0
56,8589,7.0
57,8744,7.0
58,14080,7.0
59,34859,7.0
60,46112,7.0
61,15573,7.0
62,10267,7.0
63,40943,7.0
64,12477,7.0
65,16003,7.0
66,9731,7.0
67,46113,7.0
68,8096,7.0
69,30296,7.0
70,46114,7.0
71,46115,7.0
72,46116,7.0
73,46117,7.0
74,46118,7.0
75,46119,7.0
76,8752,7.0
77,24324,7.0
78,46122,7.0
79,43179,7.0
80,46123,7.0
81,17087,1.0
82,46124,1.0
83,8192,1.0
84,12271,1.0
85,46125,7.0
86,46126,7.0
87,46127,7.0
88,46128,7.0
89,46130,7.0
90,28337,7.0
91,23514,7.0
92,46131,7.0
93,23520,1.0
94,37955,1.0
95,40640,1.0
96,46132,1.0
97,46133,1.0
98,12421,1.0
99,46134,1.0
100,21476,1.0
101,46136,7.0
102,46137,7.0
103,46138,7.0
104,24742,7.0
105,19640,7.0
106,46140,7.0
107,13619,2.0
108,46142,7.0
109,8799,2.0
110,35115,7.0
111,30180,7.0
112,46147,7.0
113,46148,7.0
114,42662,7.0
115,26242,1.0
116,46150,1.0
117,46151,1.0
118,46152,1.0
119,46154,1.0
120,46155,1.0
121,43895,7.0
122,20610,7.0
123,46156,7.0
124,46159,7.0
125,46161,9.0
126,46162,9.0
127,46165,7.0
128,46167,1.0
129,29693,1.0
130,46168,7.0
131,46171,7.0
132,41747,7.0
133,46173,7.0
134,46174,7.0
135,43979,7.0
136,46176,7.0
137,43887,7.0
138,43886,7.0
139,9548,7.0
140,46180,7.0
141,46182,7.0
142,8594,7.0
143,8615,2.0
144,8671,7.0
145,8672,2.0
146,8746,7.0
147,8747,7.0
148,8923,7.0
149,9058,7.0
150,9070,1.0
151,9133,1.0
152,19817,7.0
153,46187,1.0
154,34454,1.0
155,46188,1.0
156,8322,1.0
157,46189,1.0
158,46190,1.0
159,46191,7.0
160,46192,7.0
161,46193,7.0
162,638,7.0
163,46194,7.0
164,46195,7.0
165,46196,7.0
166,46197,7.0
167,46198,7.0
168,46199,7.0
169,46200,7.0
170,10359,7.0
171,46202,7.0
172,46203,7.0
173,46204,7.0
174,46205,7.0
175,46206,7.0
176,46207,7.0
177,46208,7.0
178,8100,7.0
179,46209,7.0
180,8813,7.0
181,46210,7.0
182,46211,7.0
183,46212,7.0
184,46213,7.0
185,8600,7.0
186,46214,7.0
187,46215,7.0
188,46216,7.0
189,21806,7.0
190,46217,7.0
191,46218,7.0
192,46219,7.0
193,46220,7.0
194,46221,7.0
195,46222,7.0
196,46223,7.0
197,46224,7.0
198,23481,7.0
199,46225,7.0
200,46226,7.0
201,41221,7.0
202,46227,7.0
203,15249,7.0
204,46228,7.0
205,46229,7.0
206,46230,7.0
207,46231,7.0
208,37748,7.0
209,10909,7.0
210,46232,7.0
211,46233,7.0
212,46234,7.0
213,40184,7.0
214,46235,7.0
215,6935,7.0
216,46236,7.0
217,10173,7.0
218,46238,7.0
219,46239,1.0
220,22683,1.0
221,10900,1.0
222,46240,1.0
223,46241,1.0
224,46243,1.0
225,46244,7.0
226,15535,7.0
227,46245,7.0
228,46246,7.0
229,46247,7.0
230,46248,7.0
231,36606,7.0
232,46249,7.0
233,29551,1.0
234,46250,1.0
235,46251,1.0
236,46253,1.0
237,20159,1.0
238,46254,1.0
239,46255,1.0
240,46256,1.0
241,46257,7.0
242,20614,7.0
243,41599,7.0
244,6849,1.0
245,8067,1.0
246,46259,1.0
247,26689,1.0
248,46261,1.0
249,8168,7.0
250,46262,7.0
251,46264,7.0
252,46265,7.0
253,46267,7.0
254,46268,7.0
255,39391,7.0
256,46270,7.0
257,46271,7.0
258,46272,7.0
259,46273,7.0
260,46274,7.0
261,46276,7.0
262,46277,7.0
263,46279,7.0
264,46280,7.0
265,46282,7.0
266,46284,7.0
267,46285,7.0
268,46286,7.0
269,46287,7.0
270,46288,7.0
271,46289,7.0
272,9468,7.0
273,1513,7.0
274,1511,7.0
275,46291,7.0
276,46292,7.0
277,46294,7.0
278,46295,7.0
279,43986,7.0
280,46296,7.0
281,46297,7.0
282,37701,7.0
283,11007,2.0
284,46298,2.0
285,11264,2.0
286,46299,2.0
287,14321,1.0
288,46300,1.0
289,8421,2.0
290,46301,2.0
291,8188,7.0
292,20897,9.0
293,8670,9.0
294,46302,9.0
295,8414,2.0
296,46304,2.0
297,8105,7.0
298,42309,7.0
299,46306,7.0
300,8592,2.0
301,46307,2.0
302,8598,7.0
303,46309,7.0
304,8955,7.0
305,46310,7.0
306,17436,7.0
307,46311,7.0
308,1864,7.0
309,46312,7.0
310,10872,7.0
311,46313,7.0
312,8817,7.0
313,46314,7.0
314,41439,7.0
315,46315,7.0
316,26080,7.0
317,46316,7.0
318,22393,7.0
319,46317,7.0
320,28222,7.0
321,46318,7.0
322,46319,7.0
323,46320,7.0
324,46321,7.0
325,46322,7.0
326,46323,7.0
327,46324,7.0
328,46325,7.0
329,12379,7.0
330,46326,7.0
331,46327,7.0
332,46328,7.0
333,46329,7.0
334,46330,7.0
335,46331,7.0
336,46332,7.0
337,46333,7.0
338,46334,7.0
339,46335,7.0
340,46336,7.0
341,46337,7.0
342,25454,1.0
343,46338,1.0
344,46339,1.0
345,29323,1.0
346,17649,7.0
347,46340,7.0
348,46341,7.0
349,29568,7.0
350,24512,7.0
351,43229,7.0
352,46342,7.0
353,46343,7.0
354,46344,7.0
355,28324,7.0
356,46346,7.0
357,10600,7.0
358,46347,7.0
359,46348,7.0
360,24248,7.0
361,46349,7.0
362,40477,7.0
363,46351,7.0
364,46353,7.0
365,46354,7.0
366,46356,7.0
367,46357,7.0
368,46359,7.0
369,46360,7.0
370,46362,7.0
371,46363,7.0
372,46371,7.0
373,15475,7.0
374,46373,7.0
375,46374,7.0
376,46375,7.0
377,46376,7.0
378,46380,9.0
379,27714,9.0
380,46382,7.0
381,46383,7.0
382,46385,9.0
383,46386,7.0
384,8189,1.0
385,46389,1.0
386,11674,9.0
387,46390,9.0
388,46391,9.0
389,46392,9.0
390,46393,9.0
391,46394,9.0
392,8333,1.0
393,46170,9.0
394,11600,2.0
395,46395,2.0
396,46396,1.0
397,8508,1.0
399,46398,2.0
400,46399,2.0
401,13569,1.0
402,40680,1.0
403,11795,1.0
404,8956,1.0
405,46401,1.0
406,8957,2.0
407,25088,2.0
408,46402,2.0
409,46403,7.0
410,46404,7.0
411,41690,7.0
412,46405,7.0
413,46406,7.0
414,46407,7.0
415,46408,7.0
416,46409,7.0
417,46410,7.0
418,46411,7.0
419,46412,7.0
420,14142,7.0
421,9401,7.0
422,46413,7.0
423,10250,7.0
424,46414,7.0
425,46415,7.0
426,8771,7.0
427,40592,7.0
428,46416,7.0
429,46418,7.0
430,46419,7.0
431,23412,7.0
432,37828,7.0
433,46420,7.0
434,27912,7.0
435,24258,7.0
436,46421,7.0
437,46423,7.0
438,46424,7.0
439,46426,7.0
440,46427,7.0
441,46428,7.0
442,46429,7.0
443,46430,7.0
444,46431,7.0
445,46433,7.0
446,46434,7.0
447,46436,9.0
448,46437,9.0
449,46439,7.0
450,46440,7.0
451,46441,7.0
452,19704,2.0
453,46442,2.0
454,46443,7.0
455,14804,7.0
456,46446,1.0
457,46447,1.0
458,25805,2.0
459,46448,2.0
460,46449,2.0
461,46450,2.0
462,42596,2.0
463,46451,2.0
464,8186,7.0
465,46452,7.0
466,46453,7.0
467,46454,7.0
468,46455,7.0
469,9703,2.0
470,46457,2.0
471,20866,1.0
472,44785,1.0
473,46459,1.0
474,46460,1.0
475,46461,7.0
476,46462,7.0
477,46463,7.0
478,46464,7.0
479,46465,7.0
480,46466,7.0
481,46467,7.0
482,13519,7.0
483,46468,7.0
484,46469,7.0
485,23836,7.0
486,46470,7.0
487,46471,7.0
488,9484,7.0
489,46472,7.0
490,46473,7.0
491,46474,7.0
492,9868,7.0
493,46475,7.0
494,46476,7.0
495,46477,7.0
496,23505,7.0
497,46478,7.0
498,25274,7.0
499,8107,7.0
500,46479,7.0
501,18243,7.0
502,46480,7.0
503,29389,7.0
504,46481,7.0
505,46482,7.0
506,46483,7.0
507,9904,7.0
508,46484,7.0
509,16579,7.0
510,46485,7.0
511,46486,7.0
512,46487,7.0
513,46488,7.0
514,46489,7.0
