personen_kremsId,personenId,art,handelsgut
1,1,1,Alteisen
2,2,2,Tabak
3,3,2,Wolle
4,3,1,Kotzen
5,4,1,Kotzen
6,6,2,Stockfisch
7,7,2,Weinstein
8,8,3,Nüsse
9,9,,Krämerei
10,10,1,Weinstein
11,10,2,Weinstein
12,10,2,Kastanien
13,11,2,Tabak
14,12,2,Tabak
15,14,2,Kastanien
16,15,,Tuch
17,15,,Wolle
18,16,2,Weinstein
19,17,1,Wachs
20,18,1,Wachs
21,19,2,Lorbeer
22,20,1,Hanf
23,20,2,Hanf
24,21,3,Häute
25,22,2,Feder
26,22,1,Wolle
27,24,1,Federn
28,25,,Weinstein
29,25,2,Deckhäute
30,25,2,Öl
31,26,,Hirschgeweih
32,27,1,Federn
33,27,1,Zinn
34,29,2,Zwirn
35,31,2,Weinstein
36,32,3,Tabak
37,34,2,Leim
38,34,2,Röte
39,34,2,Schwefel
40,34,2,Kastanien
41,34,1,Federn
42,35,2,Indigo
43,36,2,Weinstein
44,36,2,Kastanien
45,36,1,Alaun
46,38,2,Tabak
47,39,,Spitze
48,41,1,Öl
49,42,1,Zinn
50,43,,Rupfen
51,44,,Käse
52,45,,Baumöl
53,45,,Weinbeeren
54,7993,,Baumöl
55,7993,,Weinbeeren
56,7993,1,Feigen
57,47,1,Baumöl
58,47,,Weinbeeren
59,47,,Seife
60,47,,Mandeln
61,47,,Rosinken
62,47,1,Baumwolle
63,47,1,Gallus
64,47,1,Feigen
65,47,,Ziechen
66,47,,Glas
67,48,,Schmalz
68,49,,Beten
69,49,,Bücher
70,49,,Bilder
71,49,,Rosenkränze
72,50,,Geschmeide
73,50,,Messer
74,50,,Schustergeschmeide
75,50,,Seide
76,50,,Taschenmesser
77,51,2,Kastanien
78,52,1,Federn
79,52,2,Kastanien
80,53,2,Kastanien
81,54,,Wolle
82,55,,Haar
83,56,2,Pfeffer
84,57,,Glas
85,57,,Waren
86,58,,Käse
87,58,,Schmalz
88,59,1,Geschmeide
89,60,1,Glätte
90,61,1,Zinn
91,63,2,Juchten
92,64,2,Wachs
93,64,,Hering
94,65,1,Honig
95,67,,Gewandschnitt
96,67,,Rupfen
97,67,,Leinöl
98,67,,Vogelleim
99,67,,Leinwand
100,68,2,Alaun
101,68,2,Röte
102,69,2,Federn
103,70,,Käse
104,70,,Schmalz
105,71,1,Geschmeide
