personen_linkWeiteresId,personenId,artId,eintrag
1,7993,1,idn=1014025044: http://d-nb.info/gnd/1014025044
2,559,1,http://d-nb.info/gnd/12970475X
3,849,2,https://de.wikipedia.org/wiki/Hans_Heinrich_von_Elterlein
4,942,,"Deutsche Digitale Bibliothek: https://www.deutsche-digitale-bibliothek.de/entity/1037499611
"
5,942,1,http://d-nb.info/gnd/119468689
6,942,1,http://d-nb.info/gnd/1037499611
7,2086,2,https://de.wikipedia.org/wiki/Donat_Johann_Hei%C3%9Fler_von_Heitersheim
8,2795,2,http://www.salzburg.com/wiki/index.php/Dominik_Kaufmann
9,3544,2,https://de.wikipedia.org/wiki/Jakob_Ernst_von_Liechtenstein-Kastelkorn
10,3782,,http://www.stadtlexikon-augsburg.de/index.php?id=114&tx_ttnews%5Btt_news%5D=6001&tx_ttnews%5BbackPid%5D=132&cHash=4fab482e0b
11,3928,,http://merkelstiftung.de/Familie/Familiendaten/getperson.php?personID=I5746&tree=PWMerkel#cite1
12,3951,,http://www.salzburg.com/wiki/index.php/Metzger_(Kaufmannsfamilie)
13,8024,1,http://d-nb.info/gnd/124743528
14,4292,,"Franz Josef Blümling, http://www.naves-historia.de/stammtafel.htm (Stammtafel), http://www.naves-historia.de/tuchmacherei.htm
"
15,4447,,http://www.hohenemsgenealogie.at/gen/ahnentafel.php?personID=I21438&tree=Hohenems&parentset=&generations=&tngmore=1
16,4985,,http://www.bmlo.lmu.de/p0482
17,5503,,http://www.willisch.eu/11_Reinhardt.html
18,5758,2,https://de.wikipedia.org/wiki/Johann_Baptist_von_Ruffini
19,6230,,http://www.virtuelles-kupferstichkabinett.de/index.php?selTab=3&currentWerk=23248&PHPSESSID=jjisqatdnv&PHPSESSID=jjisqatdnv
20,6230,,http://www.biografischportaal.nl/persoon/56840937
21,6230,,http://www.portraitindex.de/documents/obj/oai%3Abaa.onb.at%3A7628983
22,6230,1,http://d-nb.info/gnd/104374527
23,6356,,urn:nbn:de:bvb:355-rpslg-pos-mf-nr-1356-8
24,6356,,http://www.portraitindex.de/documents/obj/33808301
25,7057,1,http://d-nb.info/gnd/117368628
26,7094,,http://tng.adler-wien.eu/showmedia.php?mediaID=46919&tngpage=27558 (Epitaph)
30,7477,,https://gedbas.genealogy.net/person/show/1181177893
31,7577,,http://www.steyr.at/Bauten_Handelshaus_Tuchscherergasse_1
32,4528,,http://michaelorenz.blogspot.co.at/2016/12/mauro-giulianis-viennese-residence-at.html (Blog Michael Lorenz)
33,6038,,http://www.ingrid-oberndorfer.com/d_wiss_arbeiten_5%20-%20richter.html
34,8049,2,https://de.wikipedia.org/wiki/Johann_II._Kasimir
35,8049,1,http://d-nb.info/gnd/119389118
38,44037,,"https://digital.lb-oldenburg.de/nidn/1037495586
"
39,44037,1,"http://d-nb.info/gnd/1037495586
"
40,37955,2,https://de.wikipedia.org/wiki/Jakob_K%C3%BCner
41,46187,2,https://de.wikipedia.org/wiki/Barockschloss_Neschwitz
42,8492,,"http://www.hohenemsgenealogie.at/gen/getperson.php?personID=I16181
"
43,8492,,https://www.geni.com/people/Wolf-Wertheimer/6000000008301024943
44,8492,,"https://www.deutsche-biographie.de/pnd139103791.html
"
45,8492,1,"https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D139103791
Hier ist fälschlich 1709 als Geburtsjahr angegeben."
46,33187,2,https://de.wikipedia.org/wiki/Samson_Wertheimer
47,33187,1,http://d-nb.info/gnd/130548677
48,33187,,VIAF: http://viaf.org/viaf/74962816
49,33187,,http://www.hohenemsgenealogie.at/gen/getperson.php?personID=I16179&sitever=standard
50,33187,,http://www.hohenemsgenealogie.at/gen/getperson.php?personID=I16179&sitever=standard
51,33187,,"Isidore Singer, S. Mannheimer, ""Wertheimer, Samson"" in: Jewish Encyclopedia: http://www.jewishencyclopedia.com//articles/14868-wertheimer-samson"
52,33187,,"David Kaufmann, ""Wertheimer, Samson"" in: Allgemeine Deutsche Biographie (1898): https://www.deutsche-biographie.de/sfz75100.html"
53,11940,2,"https://de.wikipedia.org/wiki/Christian_von_M%C3%BCnch_(Bankier,_1690)"
54,3431,,https://www.graphikportal.org/document/gpo00291357
55,3431,,https://portal.dnb.de/bookviewer/view/1163080632#page/1/mode/1up
56,3431,1,http://d-nb.info/gnd/134284518
57,8263,1,http://d-nb.info/gnd/117125644
58,8263,13,https://bmlo.de/Q/GND=117125644
59,8879,2,https://de.wikipedia.org/wiki/Jakob_K%C3%BCner
60,36834,2,https://de.wikipedia.org/wiki/Johann_Christoph_Volkamer
61,24111,,https://www.deutsche-biographie.de/gnd13980482X.html#ndbcontent
62,10356,,https://www.deutsche-biographie.de/gnd13980482X.html#ndbcontent
63,39974,,"https://de.wikisource.org/wiki/BLK%C3%96:Wiesenh%C3%BCtten,_die_Freiherren_von,_Genealogie"
64,2174,2,https://de.wikipedia.org/wiki/Pfarrkirche_Ried_im_Innkreis
65,292,8,http://www.tripota.uni-trier.de/single_picture.php?signatur=121_port_0256 
66,390,9,http://data.matricula-online.eu/de/oesterreich/st-poelten/ferschnitz/01%252C2%252C3%252F02/?pg=3
67,870,9,https://data.matricula-online.eu/de/oesterreich/wien/neunkirchen/01%252C2-04/?pg=236
68,867,9,https://data.matricula-online.eu/de/oesterreich/wien/neunkirchen/01%252C2-04/?pg=236
69,13263,10,https://www.sn.at/wiki/Zellner
70,9427,10,https://www.sn.at/wiki/Zellner
71,44614,9,https://data.matricula-online.eu/de/oesterreich/oberoesterreich/lambach/202%252F01/?pg=48
72,42819,,
73,16758,1,https://d-nb.info/gnd/1024753611
74,16758,,https://scopeq.cc.univie.ac.at/Query/deskriptordetail.aspx?ID=372161
75,18600,2,https://de.wikipedia.org/wiki/K.u.k._Husarenregiment_%E2%80%9EErzherzog_Franz_Salvator%E2%80%9C_Nr._15
76,21673,2,https://de.wikipedia.org/wiki/Johann_Stephan_Burgermeister
77,20333,2,https://de.wikipedia.org/wiki/Johann_Georg_Dietmayr
78,48180,2,https://de.wikipedia.org/wiki/Liste_der_B%C3%BCrgermeister_von_Wien
79,3871,9, https://data.matricula-online.eu/de/oesterreich/oberoesterreich/neukirchen-am-walde/202%252F01/?pg=117
80,3871,9,https://data.matricula-online.eu/de/oesterreich/oberoesterreich/neukirchen-am-walde/301%252F03/?pg=222
81,20367,11,https://www.deutsche-biographie.de/sfz128161.html
82,20367,,http://reliures.bnf.fr/ark:/12148/cdt9x14rt/ (dort wahrscheinlich falsches Geburtsjahr)
83,9830,12,https://www.deutsche-digitale-bibliothek.de/person/gnd/124318401
84,9830,1,https://d-nb.info/gnd/124318401
85,32472,2,https://en.wikipedia.org/wiki/Costantino_Balbi
86,16593,,https://www.spinola.it/personaggi/domenico-maria-spinola-1666-1743/
87,34415,2,https://de.wikipedia.org/wiki/Karl_III._Philipp_(Pfalz)
88,40548,2,https://de.wikipedia.org/wiki/Johann_Bernhard_von_Francken
89,1818,9,https://data.matricula-online.eu/de/oesterreich/oberoesterreich/steinbach-an-der-steyr/301%252F01/?pg=14
90,11123,13,https://bmlo.de/Q/GND=13933016X
91,8263,2,https://de.wikipedia.org/wiki/Peter_Conrad_Monath
92,44414,11,https://www.deutsche-biographie.de/sfz38900.html
93,12335,12,https://www.deutsche-digitale-bibliothek.de/item/PT7G7G6VAJ63TIPCXAJQK656LEVY2TO3
94,12335,12,https://www.deutsche-digitale-bibliothek.de/person/gnd/121135462
95,12335,1,https://d-nb.info/gnd/121135462
96,12335,14,https://www.portraitindex.de/documents/obj/34007716
97,1412,,
98,983,9,https://data.matricula-online.eu/de/oesterreich/st-poelten/strengberg/B+1/?pg=28
99,8389,2,https://de.wikipedia.org/wiki/Johann_Andreas_Pfeffel
100,8389,1,https://d-nb.info/gnd/119200414
101,8389,15,https://www.geschichtewiki.wien.gv.at/Johann_Andreas_Pfeffel_der_%C3%84ltere
102,42075,15,https://www.geschichtewiki.wien.gv.at/Johann_Lorenz_Trunck_von_Guttenberg
103,30577,2,https://de.wikipedia.org/wiki/Sigismund_Franz_(%C3%96sterreich-Tirol)
104,31103,2,https://de.wikipedia.org/wiki/Karl_I._Ludwig_(Pfalz)
105,48398,2,https://de.wikipedia.org/wiki/Franz_Ludwig_von_Pfalz-Neuburg
106,13924,2,https://de.wikipedia.org/wiki/Franz_Georg_von_Sch%C3%B6nborn
107,5423,9,"Taufe seiner Tochter Martha 1720: https://data.matricula-online.eu/de/oesterreich/wien/strass-im-strassertal/01%252C2%252C3-02/?pg=12 (""Rädl"")"
108,6431,9,"Z.B. Taufe seiner Tochter Maria Magdalena 1684: https://data.matricula-online.eu/de/oesterreich/wien/strass-im-strassertal/01%252C2%252C3-01/?pg=197 (""Matthias Semer, Schuhmacher"")"
109,628,9,"Sterbematriken Unzmarkt, Begräbnis am 17.02.1734 (im 70. Lj.), Berufsbezeichnung: ""tinctor"": https://data.matricula-online.eu/de/oesterreich/graz-seckau/unzmarkt/10943/?pg=31"
110,265,9,"https://data.matricula-online.eu/de/oesterreich/st-poelten/waidhofen-thaya/01%252F01/?pg=889
(""Beneditter"" Thomas, Handelsmann)"
111,4964,9,"https://data.matricula-online.eu/de/oesterreich/st-poelten/waidhofen-thaya/01%252F01/?pg=532
(""Bischinger""), dort als ""Lederer"" bezeichnet."
112,5921,9,https://data.matricula-online.eu/de/oesterreich/st-poelten/waidhofen-thaya/A+1+b/?pg=245
113,3310,9,https://data.matricula-online.eu/de/oesterreich/st-poelten/waidhofen-thaya/01%252F01/?pg=700
114,3309,,Siehe die zahlreichen Einträge im Index von Waidhofen an der Thaya zu Mitgliedern der Familie Landsteiner: https://data.matricula-online.eu/de/oesterreich/st-poelten/waidhofen-thaya/A+1+b/?pg=171
115,3311,9,Siehe die zahlreichen Einträge im Index von Waidhofen an der Thaya zu Mitgliedern der Familie Landsteiner: https://data.matricula-online.eu/de/oesterreich/st-poelten/waidhofen-thaya/A+1+b/?pg=171
