personen_literaturId,personenId,literatur
1,12,"Staudinger, Dörffer, 160 Anm. 366."
2,7993,"Von Pantz, Gewerken, S. 9."
3,47,"Pantz, Gewerken, 9."
4,84,"Serles, Metropole, 131."
5,88,"Paritius, Regensburg 1723, 108; Paritius, Regensburg 1724, 90; Schönfeld, Wirtschaftsgeschichte Regensburgs, 51.<br>"
6,95,"Kinzl, Chronik, 218."
7,97,"Jenny-Trümpy, Handel, 18."
8,100,"Kerschbaumer, Krems, 483f., <span> Ingeborg Krekler, Stammbücher bis 1625 (Die Handschriften der 
Würtembergischen Landesbibliothek Stuttgart, Sonderreihe 3, Wiesbaden 
1999) 42.</span>"
9,102,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
11,112,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
12,121,http://www.salzburg.com/wiki/index.php/Aniser
13,142,"Kinzl, Chronik, 277, 615; Kerschbaumer, Krems, 180."
14,147,"Srbik, Abenteurer, 54 Anm. 1; Soukup–Hladík, ""Des deifels goltmacher (...); Körbl, Bartholotti, 335f."
15,237,"Camesina, Wien und seine Bewohner, 16; Senfelder, Gottesacker, 222, 256. "
16,238,"Camesina, Wien und seine Bewohner, 16. "
17,259,"Bieniarzówna, Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
18,262,"Rauscher, Langenlois, 82, 84."
19,292,"Serles, Metropole, passim; Seibold, Wirtschaftlicher Erfolg, Bd. 1, 397f., 513 und passim; <span><span><span><span>Roth, Geschichte des Nürnbergischen Handels 2, 218</span></span></span></span>."
20,315,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35. "
21,331,"Seibold, Blommart; Seibold, Erfolg, 385-387; Serles, Metropole, 114f."
22,332,"Seibold, Blommart; Seibold, Wirtschaftlicher Erfolg, Bd. 1, 385-387; Serles, Metropole, 114f."
23,7998,"Seibold, Blommart; Seibold, Wirtschaftlicher Erfolg, Bd. 1, 387f.; Serles, Metropole, 114f."
24,354,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
25,366,"Paritius, 1723, 108; Schönfeld, Wirtschaftsgeschichte, 67-70; Johann Seifert, Stamm=Tafeln gelehrte Leute, 2. Teil (Regensburg 1723): Renate Jürgensen, Melos conspirant singuli in unum: Repertorium bio-bibliographicum zur Geschichte des Pegnesischen Blumenordens in Nürnberg (1644-1744) (Wiesbaden 2006)."
26,421,"Katrin Sterba, Bilder von Missionaren - Missionarisierung durch Bilder? Ein Beitrag zur (Selbst)Darstellung des Jesuitenordens und seiner Missionare in der Kirche Sankt Ignatius in Iglau (Mähren), in: Jenseits des Illustrativen. Visuelle Medien und Strategien politischer Kommunikation, hg. von Niels Grüne-Claus Oberhauser (Göttingen 2015) 111-143, hier 119, Anm. 35."
27,437,"Rauscher, Serles, Niederleger, 170; Friedrich Schmidt, Die Entstehung der Neustadt Erlangen und die Erbauung des markgräflichen Schlosses (Diss. Erlangen 1912) 88 (dort ohne Vorname, so dass es sich hier auch um ein anderes Familienmitglied handeln könnte)."
28,453,"Rauscher, Serles, Niederleger, 170. "
29,477,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
30,509,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
31,516,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35."
32,517,"Bieniarzówna, Die Handelsbeziehungen zwischen Krakau und Krems im 16. und 17. Jahrhundert, 35; Mazzei, Decline, 204."
