personen_verwandtschaftsId,personenId1,verwandschaftsverhaeltnisseId,personenId2
1,331,4,332
2,332,4,331
3,7998,3,331
4,3601,24,3603
5,3765,3,3764
6,3764,6,3765
7,5272,3,5280
8,5272,4,5273
11,9740,4,17118
12,17118,4,9740
13,15550,4,17568
14,9481,4,36092
15,36092,4,9481
16,43806,4,43805
17,43805,4,43806
18,4694,6,43814
19,43814,3,4694
20,43817,3,9414
21,9414,6,43817
22,43822,4,11130
23,43823,4,11130
24,43823,4,43822
26,43828,3,25401
27,18390,4,30361
28,43832,7,30361
29,43839,3,13226
30,43840,3,13226
31,43840,5,43839
32,43841,6,32426
33,43996,4,43999
34,43999,4,43996
35,44012,3,9136
36,44015,3,9136
37,44015,4,44012
38,44012,4,44015
39,9136,6,44012
40,9136,6,44015
41,8574,4,43889
42,8574,4,43890
43,44032,4,5
44,44041,3,24382
46,44042,5,44041
47,44042,3,24382
48,24382,7,44041
49,24382,7,44042
50,44041,4,44042
51,44045,10,8410
52,44046,3,8410
53,8410,6,44046
54,8410,11,44045
55,44054,6,44053
56,44053,3,44054
57,44051,10,44054
58,44054,11,44051
59,17087,15,18128
60,18128,15,17087
61,46108,3,9344
62,41599,10,9344
63,41599,14,46108
64,46108,14,41599
65,28228,3,2848
66,2848,6,28228
67,46113,3,9731
68,9731,6,46113
69,46124,4,17087
70,17087,4,46124
71,46132,10,37955
72,37955,11,46132
73,44044,3,46138
74,46138,6,44044
75,46155,10,46150
76,46150,11,46155
77,46164,14,46161
78,46161,14,46164
79,46117,6,41747
80,41747,3,46117
81,43887,10,43886
82,43886,16,43887
83,46179,3,43886
84,46179,3,9548
85,9548,6,46179
86,43886,7,46179
87,43887,10,9548
88,46187,3,34454
89,34454,6,46187
90,37748,4,43997
91,43997,4,37748
92,46241,4,46239
93,46239,4,46241
94,46242,3,46243
95,46243,6,46242
96,46250,4,29551
97,29551,4,46250
98,46253,4,46150
99,46150,4,46253
100,46258,3,9344
101,46258,4,46108
102,9344,11,41599
103,9344,6,46258
104,9344,6,46108
105,46278,15,46276
106,46305,14,16221
107,46305,14,42309
110,46308,3,8592
111,8592,6,46308
112,46352,7,40477
113,40477,3,46352
114,46364,4,46362
115,46377,7,46375
116,46375,3,46377
117,46378,17,46377
118,46377,16,46378
119,46394,3,46393
120,25088,3,8957
121,8957,6,25088
122,46430,4,24258
123,24258,4,46430
124,46438,4,46436
125,46436,4,46438
126,46439,4,24258
