Name,Herkunftsort,Region,anzahl,latitude,longitude,koordinaten
Georg Christoph Würth,Augsburg,Schwaben,3,N 48° 22' 17'',E 10° 53' 54'',
Franz von Churfeld,Bozen,Tirol,1,N 46° 29' 26'',E 11° 20' 23'',
Matthias Piller,Brünn,Mähren,1,N 49° 11' 42'',E 16° 36' 28'',
Bernhard Schadt,Eggenburg,Niederösterreich,1,N 48° 38' 20'',E 15° 49' 8'',
Daniel und Gaudenz Castelmur,Engadin,Eidgenossenschaft,1,N 46° 30' 0'',E 10° 0' 0'',
Johann Isaak Vareille,Erlangen,Franken,2,N 49° 35' 27'',E 11° 0' 28'',
Ruprecht Traunpaur,Frankenmarkt,Oberösterreich,1,N 47° 59' 0'',E 13° 25' 0'',
Joseph Karl Fuchs,Graz,Steiermark,1,N 47° 4' 0'',E 15° 27' 0'',
Joseph Christoph Naller,Gresten,Niederösterreich,1,N 47° 59' 6'',E 15° 1' 31'',
Leopold Pfefferl,Innsbruck,Tirol,1,N 47° 15' 45'',E 11° 23' 40'',
Dominik Peternader,Kitzbühel,Tirol,1,N 47° 26' 46'',E 12° 23' 31'',
Georg Lehmann,Nürnberg,Franken,7,N 49° 27' 15'',E 11° 4' 39'',
Johann Georg Gengl,Pressburg,Ungarn,2,N 48° 8' 53'',E 17° 6' 24'',
"Johann Baptist Prestinari/""Franz Martinelli""",Proßnitz,Mähren,1,N 49° 28' 18'',E 17° 6' 42'',
Anton Lang,Purgstall,Niederösterreich,1,,,"48° 3′ 27″ N, 15° 8′ 16″ E"
Johann Georg Dusel,Ravelsbach,Niederösterreich,1,N 48° 33' 0'',E 15° 51' 0'',
Johann Gottlob Hess,Regensburg,Bayern,3,N 49° 0' 54'',E 12° 6' 5'',
Johann Peter Käpler,Schwanenstadt,Oberösterreich,1,N 48° 3' 19'',E 13° 46' 30'',
Lorenz Fels,St. Gallen,Eidgenossenschaft,1,N 47° 25' 26'',E 9° 22' 29'',
Albrecht Zehetner,St. Pölten,Niederösterreich,2,N 48° 12' 0'',E 15° 38' 0'',
Jakob Stockholzer,Sterzing,Tirol,1,N 46° 53' 35'',E 11° 25' 46'',
Joseph Schwarzleithner,Steyr,Oberösterreich,1,N 48° 2' 33'',E 14° 25' 16'',
Johann Michael Peck,Stronsdorf,Niederösterreich,1,N 48° 39' 5'',E 16° 17' 56'',
Bartholomäus Bertola,Venedig,Venedig,2,N 45° 26' 13'',E 12° 19' 57'',
Anton Cerletti,Wien,Niederösterreich,13,N 48° 12' 30'',E 16° 22' 19'',
Georg Prunner,Landshut,Bayern,1,N 48° 31' 46'',E 12° 9' 42'',
Ferdinand Wührer,Neukirchen am Walde,Oberösterreich,1,N 48° 24' 21'',E 13° 46' 53'',
Tobias Strauß,Sarleinsbach,Oberösterreich,1,N 48° 32' 42'',E 13° 54' 17'',
Johann Michael Rappenmoser,Garsten,Oberösterreich,1,N 48° 1' 20'',E 14° 24' 26'',
Matthias Kern,Ödenburg,Ungarn,1,N 47° 41' 6'',E 16° 35' 25'',
Franz Anton Geramb,Schemnitz,Ungarn,1,N 48° 26' 54'',E 18° 54' 36'',
Löw Sinzheim,Mannheim,Oberrhein,1,N 49° 29' 20'',E 8° 28' 1'',
Johann Rudolf Schweighauser,Basel,Eidgenossenschaft,1,N 47° 33' 30'',E 7° 34' 23'',
Johann Lutz,Lindau,Schwaben,1,,,"47° 32′ 45″ N, 9° 41′ 2″ E"
Gebrüder Palm,Esslingen,Schwaben,1,,,"48° 44′ 26″ N, 9° 18′ 39″ E"
Bernhard Falquet/Falquet und Violand,Arâches-la-Frasse,Savoyen,1,,,"46° 2′ 36″ N, 6° 37′ 53″ E"
Anton Negri,Arco,Tirol,1,,,"45° 55′ 0″ N, 10° 53′ 0″ E"
Alexander Niller,Auerbach in der Oberpfalz,Bayern,2,49.691528,11.628840,
