regionenAktuellId,region
1,"Niederösterreich, Bundesland"
2,"Bayern, Freistaat"
4,"Salzburg, Bundesland"
5,"Marmararegion, Region"
6,"Steiermark, Bundesland"
7,"Zagreb, Gespanschaft"
8,"Oberösterreich, Bundesland"
9,"Baden-Württemberg, Land"
10,"Bayern, Freistaat; Baden-Württemberg, Land"
12,"Nordholland, Provinz"
13,"Tirol, Bundesland"
14,"Sachsen, Freistaat"
15,"Thüringen, Freistaat"
16,"Südtransdanubien (Dél-Dunántúl), Region"
17,"Basel-Stadt, Kanton"
18,"Zentralserbien, Region"
20,"Hessen, Land"
21,"Krain, Region"
22,Bratislavský kraj
23,Jihomoravský kraj
24,"Trentino-Südtirol/Trentino-Alto Adige, autonome Region"
25,Královéhradecký kraj
26,Moravskoslezský kraj
27,"Niedersachsen, Land"
28,"Niederschlesien, Woiwodschaft "
29,Pardubický kraj
30,"Brüssel-Hauptstadt, Region"
31,Jihočeský kraj
32,Kraj Vysočina
33,"Graubünden, Kanton"
34,Liberecký kraj
35,"Vorarlberg, Bundesland"
36,Olomoucký kraj
37,"Gorenjska, statistische Region"
38,Ústecký kraj
39,"Hauts-de-France, Region"
40,"Dänemark, Königreich"
41,"Pommern, Woiwodschaft"
42,"Burgenland, Bundesland"
43,"Glarus, Kanton"
44,"Wien, Bundesland"
45,"Lublin, Woiwodschaft"
46,Karlovarský kraj
47,"England, Landesteil"
48,"Osijek-Baranja, Gespanschaft"
49,"Primorje-Gorski kotar, Gespanschaft"
50,Středočeský kraj
51,"Toskana, Region"
52,Trnavský kraj
53,Venetien; Lombardei; Trentino-Südtirol; Region
54,"Genf, Kanton"
55,"Ligurien, Region"
56,"Mitteltransdanubien (Közép-Dunántúl), Region"
57,"Venetien, Region"
59,"Westtransdanubien (Nyugat-Dunántúl), Region"
60,"Freie und Hansestadt Hamburg, Stadtstaat"
61,"Rheinland-Pfalz, Land"
62,"Nordholland; Südholland, Provinzen"
63,Zlínský kraj
64,Trenčiansky kraj
65,"Nordrhein-Westfalen, Bundesland"
66,"Dél-Alföld (Südliche Große Tiefebene), Region"
67,Košický kraj
69,"Kärnten, Bundesland"
70,Plzeňský kraj
71,"Maramureș, Județ"
72,"Cluj, Județ"
73,Nitriansky kraj
74,Kaliningradskaja Oblast
75,"Kleinpolen, Woiwodschaft"
76,Banskobystrický kraj
77,"Osrednjeslovenska, statistische Region"
78,"Südholland, Provinz"
79,"Opole, Woiwodschaft"
80,"Lombardei, Region"
81,"Grand Est, Region"
82,"Wallonie, Region"
83,"Auvergne-Rhône-Alpes, Region"
84,"Közép-Magyarország (Mittelungarn), Region"
85,"Île-de-France, Region"
86,"Emilia-Romagna, Region"
87,"Vojvodina, Region"
88,"Schlesien, Woiwodschaft"
89,"Friaul-Julisch Venetien/Friuli Venezia Giulia, Region"
90,"Großpolen, Woiwodschaft"
91,Hlavní město Praha
92,"Latium, Region"
93,"Schaffhausen, Kanton"
94,"Schottland, Landesteil"
95,"Sizilien, autonome Region"
96,"St. Gallen, Kanton"
97,"Timiș, Județ"
98,"Kujawien-Pommern, Woiwodschaft "
99,"Tirol, Bundesland; Trentino-Südtirol, autonome Region"
100,"Wallonien, Region"
101,Haute-Savoie
102,"Varaždin, Gespanschaft"
103,"Masowien, Woiwodschaft"
104,Rhône-Alpes
