regionenHistorischId,region
1,"Niederösterreich, Erzherzogtum"
2,"Steiermark, Herzogtum"
3,"Salzburg, Erzstift"
4,"Mähren, Markgrafschaft"
5,"Böhmen, Königreich"
6,"Bayern, Herzogtum"
8,"Nürnberg, Reichsstadt"
9,"Tirol, Grafschaft"
10,"Oberösterreich, Erzherzogtum"
11,"Ungarn, Königreich"
13,Italien (unspezifisch)
14,"Schlesien, Herzogtum"
15,"Schweiz, Eidgenossenschaft"
16,"Kärnten, Herzogtum"
17,"Sachsen, Kurfürstentum"
18,"Savoyen, Herzogtum"
19,"Krain, Herzogtum"
20,"Preußen, Königreich (ab 1701)"
21,"Schottland, Königreich (bis 1707)"
25,"Köln, Reichsstadt"
31,"Venedig, Republik"
37,"Polen, Königreich"
45,"Osmanisches Reich, Sultanat"
46,"Passau, Hochstift"
48,"Pfalz-Neuburg, Herzogtum"
49,"Vereinigte Niederlande, Republik"
50,"Brandenburg-Bayreuth, Markgrafschaft"
51,"Brandenburg-Ansbach, Markgrafschaft"
52,"Regensburg, Hochstift"
53,"Siebenbürgen, Fürstentum"
54,"Bamberg, Hochstift"
56,"Serbien, Königreich (1718-1739)"
57,"Belgrader Banat, Banat"
58,"Temeswarer Banat, Kron- und Kammerdomäne (1718-78)"
59,"Mainz, Erzstift"
60,"Berchtesgaden, Fürstpropstei"
62,"Sachsen-Coburg, Herzogtum"
63,"Sachsen-Weimar, Herzogtum"
64,"Reuß-Gera, Grafschaft"
65,"Reuß-Ebersdorf, Grafschaft"
66,Vorderösterreich (Vorlande)
67,"Obermarchtal, Reichsstift"
68,"Bremen, Herzogtum oder Reichsstadt"
69,"Brixen, Hochstift"
70,Österreichische Niederlande
71,"Frankreich, Königreich"
72,"Dänemark, Königreich"
73,"Kempten, Fürststift"
74,"Augsburg, Hochstift"
75,"Regensburg, Reichsstadt"
76,"Niedermünster, Reichsstift"
77,"Oettingen, Grafschaft"
78,"Neuburg am Inn, Grafschaft"
79,"Eichstätt, Hochstift"
80,"England, Landesteil (seit 1707, davor Königreich)"
81,"Straßburg, Hochstift"
82,"Freising, Hochstift"
83,"Toskana, Großherzogtum"
84,"Frankfurt, Reichsstadt"
85,"Ortenburg, Grafschaft"
86,"Genua, Republik"
87,"Braunschweig-Lüneburg, Herzogtum"
88,"Kurpfalz, Pfalzgrafschaft"
89,"Heiliges Römisches Reich, Kaiserreich"
90,"Wied-Neuwied, Grafschaft"
91,"Mark, Grafschaft"
92,"Baden-Durlach, Markgrafschaft"
93,"Württemberg, Herzogtum"
94,"Schwarzburg-Rudolstadt, Grafschaft"
95,"Lothringen, Herzogtum"
97,"Lucca, Republik"
100,"Mailand, Herzogtum"
101,"Mantua, Herzogtum"
102,"Mergentheim, Meistertum des Deutschen Ordens"
103,"Fürstenberg-Meßkirch, Fürstentum"
104,"Münster, Hochstift"
105,"Neapel, Königreich"
106,"Marchtal, Reichsstift"
107,"Ochsenhausen, Reichsabtei"
108,"Ulm, Reichsstadt"
110,"Parma, Herzogtum"
111,Militärgrenze
112,"Speyer, Hochstift"
113,"Portugal, Königreich"
114,"Buxheim, Reichskartause"
115,"Patrimonium Petri, Kirchenstaat"
116,"Schwäbisch Gmünd, Reichsstadt"
117,"Hessen-Darmstadt, Landgrafschaft"
119,"Kaufbeuren, Reichsstadt"
120,"Memmingen, Reichsstadt"
121,"Augsburg, Reichsstadt"
122,"Kempten, Reichsstadt"
123,"Dinkelsbühl, Reichsstadt"
124,"Elchingen Reichsstift/Ulm, Reichsstadt "
125,"Nördlingen, Reichsstadt"
126,"Indelhausen, Herrschaft (Speth zu Schülzburg)"
127,"Illereichen, Herrschaft (Limburg-Styrum)"
128,"Heimertingen, Herrschaft (Fugger-Babenhausen)"
129,"Fellheim, Herrschaft (Reichlin von Meldegg)"
130,"Lautlingen, Herrschaft (Schenk von Stauffenberg)"
131,"Jettingen, Herrschaft (Stain zu Ronsberg)"
132,"Dellmensingen, Herrschaft (Werdenstein)"
133,"Gammertingen, Herrschaft (Speth)"
134,"Heggbach, Reichsabtei"
135,"Diemantstein, Herrschaft (Diemantstein, Elster)"
136,"Kellmünz, Herrschaft (Rechberg)"
137,"Pleß, Herrschaft (Fugger-Babenhausen, Buxheim)"
138," Marstetten, Herrschaft (Waldburg-Zeil-Wurzach)"
139,"Sizilien, Königreich"
140,"Spanien, Königreich"
141,"Speyer, Reichsstadt"
142,"Rothenfels-Staufen, Reichsgrafschaft"
143,"Niederstotzingen, Reichsritterschaftlicher Ort"
145,"Trient, Hochstift"
146,"Triest, Freie Stadt"
147,"Fulda, Hochstift"
148,"Hamburg, Reichsstadt"
149,"Wied-Neuwied, Grafschaft"
150,"Pfalz-Sulzbach, Fürstentum"
151,"Öpfingen, Reichsritterschaftlicher Ort (Freiberg)"
152,"Kärnten, Herzogtum; Venedig Republik"
153,"Weißenburg, Reichsstadt"
154,"Wetzlar, Reichsstadt"
155,"Braunschweig-Wolfenbüttel, Herzogtum"
156,"Würzburg, Hochstift"
157,"Ballei Franken, Ballei des Deutschen Ordens"
158,Niederlausnitz
159,"Lüttich, Hochstift"
160,"Schaumburg, Grafschaft"
161,"Lindau, Reichsstadt"
